S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Political Science,SOC612 - Political Sociology,5hrs 47min,12th,English/Hindi,Module 1: Introduction to Political Sociology,SOC612_Topic001,https://www.youtube.com/watch?v=i99_10pJYA8
2,Political Science,SOC612 - Political Sociology,,12th,English/Hindi,Module 1: Introduction to Political Sociology,SOC612_Topic002,https://www.youtube.com/watch?v=nOrRdMuHr2Y
3,Political Science,SOC612 - Political Sociology,,12th,English/Hindi,Module 1: Introduction to Political Sociology,SOC612_Topic003,https://www.youtube.com/watch?v=-lYOyTIQr1A
4,Political Science,SOC612 - Political Sociology,,12th,English/Hindi,Module 1: Introduction to Political Sociology,SOC612_Topic004,https://www.youtube.com/watch?v=jjiIbClpwnA
5,Political Science,SOC612 - Political Sociology,,12th,English/Hindi,"Module 2: Power, Authority, and the State",SOC612_Topic005,https://www.youtube.com/watch?v=SM9X-y6OsRM
6,Political Science,SOC612 - Political Sociology,,12th,English/Hindi,"Module 2: Power, Authority, and the State",SOC612_Topic006,https://www.youtube.com/watch?v=bg87ibC2m_U
7,Political Science,SOC612 - Political Sociology,,12th,English/Hindi,"Module 2: Power, Authority, and the State",SOC612_Topic007,https://www.youtube.com/watch?v=uyDM8WTuAGg
8,Political Science,SOC612 - Political Sociology,,12th,English/Hindi,"Module 2: Power, Authority, and the State",SOC612_Topic008,https://www.youtube.com/watch?v=HvepMt_TguM
9,Political Science,SOC612 - Political Sociology,,12th,English/Hindi,Module 3: Political Culture and Socialization,SOC612_Topic009,https://www.youtube.com/watch?v=_lp8t2YLjCs
10,Political Science,SOC612 - Political Sociology,,12th,English/Hindi,Module 3: Political Culture and Socialization,SOC612_Topic010,https://www.youtube.com/watch?v=4ONYJK-4lzU
11,Political Science,SOC612 - Political Sociology,,12th,English/Hindi,Module 3: Political Culture and Socialization,SOC612_Topic011,https://www.youtube.com/watch?v=c2MhIMDKsoM
12,Political Science,SOC612 - Political Sociology,,12th,English/Hindi,Module 4: Social Movements and Political Change,SOC612_Topic012,https://www.youtube.com/watch?v=KW7pLDKsWcQ
13,Political Science,SOC612 - Political Sociology,,12th,English/Hindi,Module 4: Social Movements and Political Change,SOC612_Topic013,https://www.youtube.com/watch?v=0sH8O0e6Us4
14,Political Science,SOC612 - Political Sociology,,12th,English/Hindi,Module 4: Social Movements and Political Change,SOC612_Topic014,https://www.youtube.com/watch?v=zZ3_lAco_rc
15,Political Science,SOC612 - Political Sociology,,12th,English/Hindi,Module 4: Social Movements and Political Change,SOC612_Topic015,https://www.youtube.com/watch?v=P74i-6cwmao
16,Political Science,SOC612 - Political Sociology,,12th,English/Hindi,Module 5: Political Institutions,SOC612_Topic016,https://www.youtube.com/watch?v=ASBFF4-ot10
17,Political Science,SOC612 - Political Sociology,,12th,English/Hindi,Module 5: Political Institutions,SOC612_Topic017,https://www.youtube.com/watch?v=S7CG2T0obmI
18,Political Science,SOC612 - Political Sociology,,12th,English/Hindi,Module 5: Political Institutions,SOC612_Topic018,https://www.youtube.com/watch?v=162mRRLODzo
19,Political Science,SOC612 - Political Sociology,,12th,English/Hindi,Module 5: Political Institutions,SOC612_Topic019,https://www.youtube.com/watch?v=hOjjJ7BELPo
20,Political Science,SOC612 - Political Sociology,,12th,English/Hindi,Module 6: Democracy and Democratization,SOC612_Topic020,https://www.youtube.com/watch?v=vwgdOX4LCcE
21,Political Science,SOC612 - Political Sociology,,12th,English/Hindi,Module 6: Democracy and Democratization,SOC612_Topic021,https://www.youtube.com/watch?v=7LJOdBWk8oI
22,Political Science,SOC612 - Political Sociology,,12th,English/Hindi,Module 6: Democracy and Democratization,SOC612_Topic022,https://www.youtube.com/watch?v=-StdeRpqmA0
23,Political Science,SOC612 - Political Sociology,,12th,English/Hindi,Module 6: Democracy and Democratization,SOC612_Topic023,https://www.youtube.com/watch?v=PuKRzaSjqBQ
24,Political Science,SOC612 - Political Sociology,,12th,English/Hindi,Module 7: Authoritarianism and Totalitarianism,SOC612_Topic024,https://www.youtube.com/watch?v=XsT-4Ajolww
25,Political Science,SOC612 - Political Sociology,,12th,English/Hindi,Module 7: Authoritarianism and Totalitarianism,SOC612_Topic025,https://www.youtube.com/watch?v=E3oyStHnpQA
26,Political Science,SOC612 - Political Sociology,,12th,English/Hindi,Module 7: Authoritarianism and Totalitarianism,SOC612_Topic026,https://www.youtube.com/watch?v=z9iVod9PWjs
27,Political Science,SOC612 - Political Sociology,,12th,English/Hindi,Module 8: Nationalism and Ethnicity,SOC612_Topic027,https://www.youtube.com/watch?v=uu7ZGDrpk7w
28,Political Science,SOC612 - Political Sociology,,12th,English/Hindi,Module 8: Nationalism and Ethnicity,SOC612_Topic028,https://www.youtube.com/watch?v=Ut9eG_NS2BU
29,Political Science,SOC612 - Political Sociology,,12th,English/Hindi,Module 8: Nationalism and Ethnicity,SOC612_Topic029,https://www.youtube.com/watch?v=sJt464iwe3Y
30,Political Science,SOC612 - Political Sociology,,12th,English/Hindi,Module 8: Nationalism and Ethnicity,SOC612_Topic030,https://www.youtube.com/watch?v=lZPKuQGoCLE
31,Political Science,SOC612 - Political Sociology,,12th,English/Hindi,Module 9: Globalization and Politics,SOC612_Topic031,https://www.youtube.com/watch?v=SLzyNxBuM9I
32,Political Science,SOC612 - Political Sociology,,12th,English/Hindi,Module 9: Globalization and Politics,SOC612_Topic032,https://www.youtube.com/watch?v=euO9XhK0edA
33,Political Science,SOC612 - Political Sociology,,12th,English/Hindi,Module 9: Globalization and Politics,SOC612_Topic033,https://www.youtube.com/watch?v=3wStME7VbyY
