S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Public Administration,Complete Course of Ethics (English),9hrs 2min,12th,English/Hindi,Module 1: Introduction to Ethics,Introduction of the Course Ethics,https://www.youtube.com/watch?v=nFn6fne2DGA
2,Public Administration,Complete Course of Ethics (English),,12th,English/Hindi,Module 1: Introduction to Ethics,Overview of Ethics Course ( English),https://www.youtube.com/watch?v=L4fBHWQpUWU
3,Public Administration,Complete Course of Ethics (English),,12th,English/Hindi,Module 1: Introduction to Ethics,Essence of Ethics  English,https://www.youtube.com/watch?v=ZTUzklTZ4_0
4,Public Administration,Complete Course of Ethics (English),,12th,English/Hindi,Module 1: Introduction to Ethics,Normative Ethics  [English],https://www.youtube.com/watch?v=URvS_bwlA_U
5,Public Administration,Complete Course of Ethics (English),,12th,English/Hindi,Module 2: Applied Ethics,Applied Ethics  [English],https://www.youtube.com/watch?v=a_oF3_qDvwY
6,Public Administration,Complete Course of Ethics (English),,12th,English/Hindi,Module 2: Applied Ethics,Ethics in Private and Public Relationships ( English),https://www.youtube.com/watch?v=yVr6M7AWASU
7,Public Administration,Complete Course of Ethics (English),,12th,English/Hindi,Module 2: Applied Ethics,Human Value ( Engish),https://www.youtube.com/watch?v=0Y07Co1AQW8
8,Public Administration,Complete Course of Ethics (English),,12th,English/Hindi,Module 3: Great Leaders & Reformers Part I,"Lessons From The Lives And Teachings Of Great Leaders, Reformers And Administrators Part I (English)",https://www.youtube.com/watch?v=3wAqiSIDRUE
9,Public Administration,Complete Course of Ethics (English),,12th,English/Hindi,Module 3: Great Leaders & Reformers Part I,"Lessons from the Lives and Teachings of Great Leaders, Reformers and Administrators (Part-II)",https://www.youtube.com/watch?v=X9rBIeYzw6I
10,Public Administration,Complete Course of Ethics (English),,12th,English/Hindi,Module 4: Ethical Ideas of Indian Religion,Ethical Ideas Of Indian Religion( English),https://www.youtube.com/watch?v=JU4xgtm0QHs
11,Public Administration,Complete Course of Ethics (English),,12th,English/Hindi,Module 4: Ethical Ideas of Indian Religion,"Attitude Content, Structure, Function English",https://www.youtube.com/watch?v=vfOqIAOcrq8
12,Public Administration,Complete Course of Ethics (English),,12th,English/Hindi,Module 5: Moral & Political Attitudes,Attitude Moral And Political Attitudes English,https://www.youtube.com/watch?v=olBz6ZEjI9s
13,Public Administration,Complete Course of Ethics (English),,12th,English/Hindi,Module 5: Moral & Political Attitudes,Attitude Social Influence and Persuasion ( English ),https://www.youtube.com/watch?v=oXj7Ty6iXsw
14,Public Administration,Complete Course of Ethics (English),,12th,English/Hindi,Module 6: Indian Moral Thinkers Part I,Contributions Of Moral Thinkers And Philosophers From India ( English ),https://www.youtube.com/watch?v=_vrKE8bVwXo
15,Public Administration,Complete Course of Ethics (English),,12th,English/Hindi,Module 6: Indian Moral Thinkers Part I,Emotional Intelligence (English ),https://www.youtube.com/watch?v=Ux4hn1wAQ2M
16,Public Administration,Complete Course of Ethics (English),,12th,English/Hindi,Module 6: Indian Moral Thinkers Part I,Contributions Of Moral Thinkers And Philosophers From India part -01 (English),https://www.youtube.com/watch?v=DJjPzoAGHv8
17,Public Administration,Complete Course of Ethics (English),,12th,English/Hindi,Module 7: Global Moral Thinkers Part I,Contributions of Moral Thinkers and Philosophers from Across the Globe Part I   English,https://www.youtube.com/watch?v=tm5_mDGeTG8
18,Public Administration,Complete Course of Ethics (English),,12th,English/Hindi,Module 7: Global Moral Thinkers Part I,Contributions of Moral Thinkers and Philosophers from Across the Globe Part II   ( English ),https://www.youtube.com/watch?v=KVYZQM2Fpgw
