S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Public Administration,Crisis Management Teachings By Dr. Myles Munroe,121hrs 15min,12th,English/Hindi,Module 1: Understanding Crisis & Change,How To Plan Your Life For Success & Handle Change P1: Dr. Myles Munroe's Strategy | MunroeGlobal.com,https://www.youtube.com/watch?v=f7BIIqUuL6Y
2,Public Administration,Crisis Management Teachings By Dr. Myles Munroe,,12th,English/Hindi,Module 1: Understanding Crisis & Change,How To Plan Your Life For Success & Handle Change P1: Dr. Myles Munroe's Strategy | MunroeGlobal.com,https://www.youtube.com/watch?v=f7BIIqUuL6Y
3,Public Administration,Crisis Management Teachings By Dr. Myles Munroe,,12th,English/Hindi,Module 1: Understanding Crisis & Change,How To Overcome Crisis: Dr. Myles Munroe's Guide On Resilience & Success | MunroeGlobal.com,https://www.youtube.com/watch?v=a167Vg3WlqA
4,Public Administration,Crisis Management Teachings By Dr. Myles Munroe,,12th,English/Hindi,Module 2:  Navigating Crisis: Strategies for Success,How To Strengthen Your Faith: Key Lessons From Dr. Myles Munroe | MunroeGlobal.com,https://www.youtube.com/watch?v=QQFk9jErb9k
5,Public Administration,Crisis Management Teachings By Dr. Myles Munroe,,12th,English/Hindi,Module 2:  Navigating Crisis: Strategies for Success,10 Essential Time Management Strategies By Dr. Myles Munroe | MunroeGlobal.com,https://www.youtube.com/watch?v=kwt9fSj8OYo
6,Public Administration,Crisis Management Teachings By Dr. Myles Munroe,,12th,English/Hindi,Module 2:  Navigating Crisis: Strategies for Success,Key Life Principles You Should Never Change - Dr. Myles Munroe | MunroeGlobal.com,https://www.youtube.com/watch?v=eByidZQwfPM
7,Public Administration,Crisis Management Teachings By Dr. Myles Munroe,,12th,English/Hindi,Module 3: Faith and Resilience in Crisis,Thrive In Crisis: Dr. Myles Munroe's Timeless Kingdom Strategies | MunroeGlobal.com,https://www.youtube.com/watch?v=oRp1ufyJNxA
8,Public Administration,Crisis Management Teachings By Dr. Myles Munroe,,12th,English/Hindi,Module 3: Faith and Resilience in Crisis,Kingdom Keys To Thriving In Times of Crisis Part 1 | Dr. Myles Munroe,https://www.youtube.com/watch?v=Z9yageR96HA
9,Public Administration,Crisis Management Teachings By Dr. Myles Munroe,,12th,English/Hindi,Module 4: Time Management in Crisis,The Seven Principles For Planning Change Part 1 | Dr. Myles Munroe,https://www.youtube.com/watch?v=4sLsec2KDds
10,Public Administration,Crisis Management Teachings By Dr. Myles Munroe,,12th,English/Hindi,Module 5: Unchanging Principles in Changing Times,The Power of Planning and Change Part 2 | Dr. Myles Munroe,https://www.youtube.com/watch?v=KNGcuXFdSKA
11,Public Administration,Crisis Management Teachings By Dr. Myles Munroe,,12th,English/Hindi,Module 5: Unchanging Principles in Changing Times,The Seven Power Keys For Planning Change | Dr. Myles Munroe,https://www.youtube.com/watch?v=b3josPeXvOw
12,Public Administration,Crisis Management Teachings By Dr. Myles Munroe,,12th,English/Hindi,Module 6: Thriving in Crisis: Kingdom Strategies,The 4 Kingdom Laws For Overcoming Crisis | Dr. Myles Munroe,https://www.youtube.com/watch?v=JkypuyT5VGI
13,Public Administration,Crisis Management Teachings By Dr. Myles Munroe,,12th,English/Hindi,Module 6: Thriving in Crisis: Kingdom Strategies,The Key To Benefitting From Crisis | Dr. Myles Munroe,https://www.youtube.com/watch?v=XP_sI7b25o8
14,Public Administration,Crisis Management Teachings By Dr. Myles Munroe,,12th,English/Hindi,Module 7:  Principles for Planning Change,The Danger of Uncontrolled Change | Dr. Myles Munroe,https://www.youtube.com/watch?v=EJiVU-Cc0vc
15,Public Administration,Crisis Management Teachings By Dr. Myles Munroe,,12th,English/Hindi,Module 7:  Principles for Planning Change,The Kingdom Power and Principle of Management | Dr. Myles Munroe,https://www.youtube.com/watch?v=x0nZ2BBiCKw
16,Public Administration,Crisis Management Teachings By Dr. Myles Munroe,,12th,English/Hindi,Module 7:  Principles for Planning Change,The Power of Planning and Change Part 3 | Dr. Myles Munroe,https://www.youtube.com/watch?v=EKm_YKyr-AE
17,Public Administration,Crisis Management Teachings By Dr. Myles Munroe,,12th,English/Hindi,Module 8:  The Power of Planning and Change,The Seven Principles For Planning Change Part 2 | Dr. Myles Munroe,https://www.youtube.com/watch?v=bcaXHEBT2o4
18,Public Administration,Crisis Management Teachings By Dr. Myles Munroe,,12th,English/Hindi,Module 8:  The Power of Planning and Change,Kingdom Keys To Insulating Yourself In Times of Crisis | Dr. Myles Munroe,https://www.youtube.com/watch?v=vFEeriOWdUI
19,Public Administration,Crisis Management Teachings By Dr. Myles Munroe,,12th,English/Hindi,Module 8:  The Power of Planning and Change,How To Live Effectively In Time | Dr. Myles Munroe,https://www.youtube.com/watch?v=lqrSLgDiXbI
20,Public Administration,Crisis Management Teachings By Dr. Myles Munroe,,12th,English/Hindi,Module 9: Overcoming Crisis: Kingdom Laws,Kingdom Keys To Thriving In Times of Crisis Part 2 | Dr. Myles Munroe,https://www.youtube.com/watch?v=q6OLPhSWMKc
