S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Public Administration,Monitoring and evaluation tutorial & training and system,4hrs 6min,12th,English/Hindi,Module 1: Introduction to Monitoring and Evaluation,Monitoring and Evaluation (M&E) Training - Chaplowe & Cousins,https://www.youtube.com/watch?v=1emXtI4ki84
2,Public Administration,Monitoring and evaluation tutorial & training and system,,12th,English/Hindi,Module 1: Introduction to Monitoring and Evaluation,Monitoring And Evaluation System,https://www.youtube.com/watch?v=KUe2JiUayuo
3,Public Administration,Monitoring and evaluation tutorial & training and system,,12th,English/Hindi,Module 1: Introduction to Monitoring and Evaluation,Ten Steps to a Results-Based Monitoring and Evaluation System,https://www.youtube.com/watch?v=EaHXqNTDwBs
4,Public Administration,Monitoring and evaluation tutorial & training and system,,12th,English/Hindi,Module 1: Introduction to Monitoring and Evaluation,People-Led Evaluation,https://www.youtube.com/watch?v=Q41HVyxHfs0
5,Public Administration,Monitoring and evaluation tutorial & training and system,,12th,English/Hindi,Module 2: Participatory and People-Centered Approaches,Monitoring & Evaluation      مقدمة الى المتابعة والتقييم,https://www.youtube.com/watch?v=Y_z9H0alSqQ
6,Public Administration,Monitoring and evaluation tutorial & training and system,,12th,English/Hindi,Module 2: Participatory and People-Centered Approaches,The seven secrets of good monitoring and evaluation,https://www.youtube.com/watch?v=7mKiESZnmxg
7,Public Administration,Monitoring and evaluation tutorial & training and system,,12th,English/Hindi,Module 2: Participatory and People-Centered Approaches,USAID/HFG M&E for Results Training,https://www.youtube.com/watch?v=uh4tx7hWj2g
8,Public Administration,Monitoring and evaluation tutorial & training and system,,12th,English/Hindi,Module 2: Participatory and People-Centered Approaches,Monitoring and Evaluation,https://www.youtube.com/watch?v=2mBcb-AQ8xQ
9,Public Administration,Monitoring and evaluation tutorial & training and system,,12th,English/Hindi,Module 3: M&E in Practice - Case Studies and Applications,Result Based Monitoring Evaluation and Evidence Based Advocacy Training Event  UNCT Ethiopia,https://www.youtube.com/watch?v=FEATzaisrgY
10,Public Administration,Monitoring and evaluation tutorial & training and system,,12th,English/Hindi,Module 3: M&E in Practice - Case Studies and Applications,"mhGAP Kashmir part 2 of 2 (Training, Monitoring, Evaluation, Supervision and Implementation)",https://www.youtube.com/watch?v=nobinWoTPjA
11,Public Administration,Monitoring and evaluation tutorial & training and system,,12th,English/Hindi,Module 3: M&E in Practice - Case Studies and Applications,PDI-SL Conflict Sensitive Monitoring and Evaluation Training - December 2012,https://www.youtube.com/watch?v=0UZbsS7d280
12,Public Administration,Monitoring and evaluation tutorial & training and system,,12th,English/Hindi,Module 3: M&E in Practice - Case Studies and Applications,NGO Experiences with Linking Monitoring and Evaluation to Impact Evaluation,https://www.youtube.com/watch?v=ZkVH-uJbRjo
13,Public Administration,Monitoring and evaluation tutorial & training and system,,12th,English/Hindi,Module 4: Specialized M&E - Health and Conflict,"Training Review ""Monitoring and Evaluation""",https://www.youtube.com/watch?v=BKlqBJRmJ7Y
14,Public Administration,Monitoring and evaluation tutorial & training and system,,12th,English/Hindi,Module 4: Specialized M&E - Health and Conflict,"Indicator, A section of an M&E Training to Partners!",https://www.youtube.com/watch?v=kFrzr8VN88o
15,Public Administration,Monitoring and evaluation tutorial & training and system,,12th,English/Hindi,Module 4: Specialized M&E - Health and Conflict,PRF Digital Monitoring and Evaluation Training,https://www.youtube.com/watch?v=sxHYW2xcrj8
16,Public Administration,Monitoring and evaluation tutorial & training and system,,12th,English/Hindi,Module 4: Specialized M&E - Health and Conflict,Project Design: Providing a Foundation for Good M&E,https://www.youtube.com/watch?v=dUvzRVG7JAw
17,Public Administration,Monitoring and evaluation tutorial & training and system,,12th,English/Hindi,Module 5: Designing and Implementing M&E Frameworks,Employers: M&E Training Can Lower Your Labor Costs,https://www.youtube.com/watch?v=ybo8HtRAywE
18,Public Administration,Monitoring and evaluation tutorial & training and system,,12th,English/Hindi,Module 5: Designing and Implementing M&E Frameworks,Monitoring and evaluation,https://www.youtube.com/watch?v=xDD2GZKPvys
19,Public Administration,Monitoring and evaluation tutorial & training and system,,12th,English/Hindi,Module 5: Designing and Implementing M&E Frameworks,Monitoring and Evaluation | Case Solving | Ayman Sadiq,https://www.youtube.com/watch?v=qQnKj64XAuM
20,Public Administration,Monitoring and evaluation tutorial & training and system,,12th,English/Hindi,Module 5: Designing and Implementing M&E Frameworks,Outcomes-based monitoring and evaluation,https://www.youtube.com/watch?v=MUSzePBTpAY
21,Public Administration,Monitoring and evaluation tutorial & training and system,,12th,English/Hindi,Module 6: Linking M&E to Project Design and Management,"Project Design, Monitoring & Evaluation",https://www.youtube.com/watch?v=ORUoKphGbQ4
22,Public Administration,Monitoring and evaluation tutorial & training and system,,12th,English/Hindi,Module 6: Linking M&E to Project Design and Management,Monitoring and Evaluation Framework,https://www.youtube.com/watch?v=f5XxA9MO5aY
23,Public Administration,Monitoring and evaluation tutorial & training and system,,12th,English/Hindi,Module 6: Linking M&E to Project Design and Management,Monitoring & Evaluation in the NGO Sector,https://www.youtube.com/watch?v=zMOk38DmEiY
24,Public Administration,Monitoring and evaluation tutorial & training and system,,12th,English/Hindi,Module 6: Linking M&E to Project Design and Management,GrOW: Monitoring and evaluation framework and tools,https://www.youtube.com/watch?v=Un3WxOxDOtw
25,Public Administration,Monitoring and evaluation tutorial & training and system,,12th,English/Hindi,Module 7: Case Studies and Practical Applications of M&E,Differences between Monitoring & Evaluation,https://www.youtube.com/watch?v=1Yg3tI9DDLg
26,Public Administration,Monitoring and evaluation tutorial & training and system,,12th,English/Hindi,Module 7: Case Studies and Practical Applications of M&E,Project monitoring and evaluation: results and highlights,https://www.youtube.com/watch?v=d2UQkhUqbP8
27,Public Administration,Monitoring and evaluation tutorial & training and system,,12th,English/Hindi,Module 7: Case Studies and Practical Applications of M&E,Indicators: Basic Concepts,https://www.youtube.com/watch?v=qmrDNuJzRv4
28,Public Administration,Monitoring and evaluation tutorial & training and system,,12th,English/Hindi,Module 7: Case Studies and Practical Applications of M&E,"Interview with Ives Rocha, Monitoring and Evaluation Manager at CEDAPS (English subtitles)",https://www.youtube.com/watch?v=G6-0SOhKxgc
29,Public Administration,Monitoring and evaluation tutorial & training and system,,12th,English/Hindi,Module 8: Developing Effective M&E Frameworks,"Value for money analysis in Water, Sanitation and Hygiene (WASH) programming",https://www.youtube.com/watch?v=7r9-FTT49yw
30,Public Administration,Monitoring and evaluation tutorial & training and system,,12th,English/Hindi,Module 8: Developing Effective M&E Frameworks,Understanding Project Management: Evaluation,https://www.youtube.com/watch?v=bt4LL_rKwFM
31,Public Administration,Monitoring and evaluation tutorial & training and system,,12th,English/Hindi,Module 8: Developing Effective M&E Frameworks,Project Evaluation,https://www.youtube.com/watch?v=mMfepoN1dpk
32,Public Administration,Monitoring and evaluation tutorial & training and system,,12th,English/Hindi,Module 8: Developing Effective M&E Frameworks,WEBINAR: Draft M & E Framework & Strategy 6/25/14,https://www.youtube.com/watch?v=QlvLqh29sxg
33,Public Administration,Monitoring and evaluation tutorial & training and system,,12th,English/Hindi,Module 9: Key Concepts and Tools in M&E,"Basics of M&E in PPD, Section 4: PPD Scorecard, PPD Logical Framework and Results of Evaluation",https://www.youtube.com/watch?v=R6h8fOEXlaI
34,Public Administration,Monitoring and evaluation tutorial & training and system,,12th,English/Hindi,Module 9: Key Concepts and Tools in M&E,RTI Integrity Framework: A Tool for Monitoring and Evaluating RTI Implementation,https://www.youtube.com/watch?v=lt6vUuqjGU8
35,Public Administration,Monitoring and evaluation tutorial & training and system,,12th,English/Hindi,Module 9: Key Concepts and Tools in M&E,Monitoring&Evaluation framework and design for SAESC - July 2013,https://www.youtube.com/watch?v=JIsQ0YKDfyw
36,Public Administration,Monitoring and evaluation tutorial & training and system,,12th,English/Hindi,Module 9: Key Concepts and Tools in M&E,"Evaluation Frameworks, Performance Metrics, and Impact",https://www.youtube.com/watch?v=fYd6HmjkBJc
37,Public Administration,Monitoring and evaluation tutorial & training and system,,12th,English/Hindi,Module 10: Evaluation Methodologies and Approaches,Program Design Toolbox for Monitoring & Evaluation,https://www.youtube.com/watch?v=Yu25zIrLZeg
38,Public Administration,Monitoring and evaluation tutorial & training and system,,12th,English/Hindi,Module 10: Evaluation Methodologies and Approaches,"Basics of M&E in PPD, Section 1: Introduction and Selection of Indicators",https://www.youtube.com/watch?v=6M30Ya3qec0
39,Public Administration,Monitoring and evaluation tutorial & training and system,,12th,English/Hindi,Module 10: Evaluation Methodologies and Approaches,what is an M&E plan? Monitoring and Evaluation planning for project development,https://www.youtube.com/watch?v=CzbERu8NrZk
40,Public Administration,Monitoring and evaluation tutorial & training and system,,12th,English/Hindi,Module 10: Evaluation Methodologies and Approaches,Designing and Developing M&E Frameworks to Measure the Effectiveness of Climate Change Projects,https://www.youtube.com/watch?v=wTITqCMnYBE
41,Public Administration,Monitoring and evaluation tutorial & training and system,,12th,English/Hindi,Module 11: Project Evaluation and Reporting,Program Evaluation,https://www.youtube.com/watch?v=XD-FVzeQ6NM
