S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Public Administration,Public Finance (Graduation),9hrs 5min,12th,English/Hindi,Module 1: Introduction to Public Finance,Public Finance | Meaning Of Public Finance | Definition Of Public Finance | Economics | CUET UGC NET,https://www.youtube.com/watch?v=G6mYbeCDX94
2,Public Administration,Public Finance (Graduation),,12th,English/Hindi,Module 1: Introduction to Public Finance,Public Finance | Scope Of Public Finance | Subject Matter Of Public Finance | Economics | UPSC CUET,https://www.youtube.com/watch?v=1RJRLJpYGLk
3,Public Administration,Public Finance (Graduation),,12th,English/Hindi,Module 1: Introduction to Public Finance,Public Finance Vs Private Finance | Public Finance | Private Finance | Economics | Macroeconomics,https://www.youtube.com/watch?v=cisO5DVaKgw
4,Public Administration,Public Finance (Graduation),,12th,English/Hindi,Module 2: Scope and Nature of Public Finance,Public Finance | Nature Of Public Finance | Characteristics Of Public Finance | Economics | CUET UGC,https://www.youtube.com/watch?v=aAFddZx97yE
5,Public Administration,Public Finance (Graduation),,12th,English/Hindi,Module 2: Scope and Nature of Public Finance,Principle Of Maximum Social Advantage | Dalton | Pigou | Musgrave | Public Finance | Economics | UGC,https://www.youtube.com/watch?v=eDDZvSbJfO4
6,Public Administration,Public Finance (Graduation),,12th,English/Hindi,Module 2: Scope and Nature of Public Finance,Maximum Social Advantage | Importance Of The Principle Of Maximum Social Advantage | Economics | UGC,https://www.youtube.com/watch?v=sbFtWC0SWNg
7,Public Administration,Public Finance (Graduation),,12th,English/Hindi,Module 3: Public Finance vs. Private Finance,Maximum Social Advantage | Limitations Of The Principle Of Maximum Social Advantage | Economics UGC,https://www.youtube.com/watch?v=Tc-xlzV-53U
8,Public Administration,Public Finance (Graduation),,12th,English/Hindi,Module 3: Public Finance vs. Private Finance,Public Expenditure - Meaning,https://www.youtube.com/watch?v=xv6MkihR1yk
9,Public Administration,Public Finance (Graduation),,12th,English/Hindi,Module 4: Principle of Maximum Social Advantage,Revenue Expenditure,https://www.youtube.com/watch?v=sQgOkf7-jRw
10,Public Administration,Public Finance (Graduation),,12th,English/Hindi,Module 4: Principle of Maximum Social Advantage,Capital Expenditure,https://www.youtube.com/watch?v=pqQzEmTkonk
11,Public Administration,Public Finance (Graduation),,12th,English/Hindi,Module 4: Principle of Maximum Social Advantage,Development Expenditure Or Productive Expenditure,https://www.youtube.com/watch?v=hRaprhyj-KY
12,Public Administration,Public Finance (Graduation),,12th,English/Hindi,Module 5: Implications of Maximum Social Advantage,Non-development Expenditure Or Unproductive Expenditure,https://www.youtube.com/watch?v=dRXLZrcknVw
13,Public Administration,Public Finance (Graduation),,12th,English/Hindi,Module 5: Implications of Maximum Social Advantage,Planned Expenditure,https://www.youtube.com/watch?v=kTo-Nlc0Wjg
14,Public Administration,Public Finance (Graduation),,12th,English/Hindi,Module 6: Public Expenditure: Meaning and Types,Non-plan Expenditure,https://www.youtube.com/watch?v=XDTNxsOwv48
15,Public Administration,Public Finance (Graduation),,12th,English/Hindi,Module 6: Public Expenditure: Meaning and Types,Transferable Public Expenditure,https://www.youtube.com/watch?v=iGahK8DfbMg
16,Public Administration,Public Finance (Graduation),,12th,English/Hindi,Module 6: Public Expenditure: Meaning and Types,Non-transferable Public Expenditure,https://www.youtube.com/watch?v=3-JiDmlkfU8
17,Public Administration,Public Finance (Graduation),,12th,English/Hindi,Module 6: Public Expenditure: Meaning and Types,Current Expenditure,https://www.youtube.com/watch?v=NhWOxPxIz-M
