S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Public Administration,Public Sector Human Resource Management,12hrs 19min,12th,English/Hindi,Module 1: Just Cause Discipline,Just Cause Discipline,https://www.youtube.com/watch?v=5EajkfSVJ5o
2,Public Administration,Public Sector Human Resource Management,,12th,English/Hindi,Module 1: Just Cause Discipline,Minnesota Public Employer Labor Relations Act Basics,https://www.youtube.com/watch?v=catVGxNezC4
3,Public Administration,Public Sector Human Resource Management,,12th,English/Hindi,Module 1: Just Cause Discipline,Minnesota Bureau of Mediation Services,https://www.youtube.com/watch?v=tfBzCPlbVWY
4,Public Administration,Public Sector Human Resource Management,,12th,English/Hindi,Module 2: Public Employee Retirement Association (PERA),Public Employee Retirement Association (PERA),https://www.youtube.com/watch?v=-Ytdx-I2yO8
5,Public Administration,Public Sector Human Resource Management,,12th,English/Hindi,Module 2: Public Employee Retirement Association (PERA),Union Contracts,https://www.youtube.com/watch?v=UCfE0l_32lM
6,Public Administration,Public Sector Human Resource Management,,12th,English/Hindi,Module 3: Veterans Preference,Veterans Preference,https://www.youtube.com/watch?v=wUt6JAqres0
7,Public Administration,Public Sector Human Resource Management,,12th,English/Hindi,Module 3: Veterans Preference,Data Practices,https://www.youtube.com/watch?v=B1_CRaMKupI
8,Public Administration,Public Sector Human Resource Management,,12th,English/Hindi,Module 4: Salary Cap,Salary Cap,https://www.youtube.com/watch?v=x3P0cz38ALM
9,Public Administration,Public Sector Human Resource Management,,12th,English/Hindi,Module 4: Salary Cap,Administering Union Contracts,https://www.youtube.com/watch?v=i-BSforBtp8
10,Public Administration,Public Sector Human Resource Management,,12th,English/Hindi,Module 5: Garrity Warning,Garrity Warning,https://www.youtube.com/watch?v=qOhnG2i2Ydc
11,Public Administration,Public Sector Human Resource Management,,12th,English/Hindi,Module 5: Garrity Warning,Employment at Will,https://www.youtube.com/watch?v=ogUZYdkhEyU
12,Public Administration,Public Sector Human Resource Management,,12th,English/Hindi,Module 6: Greivance,Greivance,https://www.youtube.com/watch?v=ayA3HWxrlRI
13,Public Administration,Public Sector Human Resource Management,,12th,English/Hindi,Module 6: Greivance,Pay Equity,https://www.youtube.com/watch?v=0S3uc03eCJw
14,Public Administration,Public Sector Human Resource Management,,12th,English/Hindi,Module 6: Greivance,Interest Arbitration,https://www.youtube.com/watch?v=Ax2nWPxf6Jo
15,Public Administration,Public Sector Human Resource Management,,12th,English/Hindi,Module 7: Mediation,Mediation,https://www.youtube.com/watch?v=6rf31xco8gw
16,Public Administration,Public Sector Human Resource Management,,12th,English/Hindi,Module 7: Mediation,Memorandum of Understanding,https://www.youtube.com/watch?v=P4kjMHM0Nqo
17,Public Administration,Public Sector Human Resource Management,,12th,English/Hindi,Module 8: Peace Officer Bill of Rights,Peace Officer Bill of Rights,https://www.youtube.com/watch?v=S99HnisYZZk
18,Public Administration,Public Sector Human Resource Management,,12th,English/Hindi,Module 8: Peace Officer Bill of Rights,Management Rights,https://www.youtube.com/watch?v=3ZYu4I7kQi4
19,Public Administration,Public Sector Human Resource Management,,12th,English/Hindi,Module 9: Negotiating Wages and Benefits,Negotiating Wages and Benefits,https://www.youtube.com/watch?v=f5Uv_EP5csg
20,Public Administration,Public Sector Human Resource Management,,12th,English/Hindi,Module 9: Negotiating Wages and Benefits,Tennessen Warning,https://www.youtube.com/watch?v=ncaeWQ_WzjM
21,Public Administration,Public Sector Human Resource Management,,12th,English/Hindi,Module 10: Union Contract Negotiation,Union Contract Negotiation,https://www.youtube.com/watch?v=d4G6GO7CzvQ
22,Public Administration,Public Sector Human Resource Management,,12th,English/Hindi,Module 10: Union Contract Negotiation,Union Organizing and Certification,https://www.youtube.com/watch?v=OKRxtWqY8dE
23,Public Administration,Public Sector Human Resource Management,,12th,English/Hindi,Module 11: Union Strikes,Union Strikes,https://www.youtube.com/watch?v=9jvrpUk4Npg
24,Public Administration,Public Sector Human Resource Management,,12th,English/Hindi,Module 11: Union Strikes,Workers Compensation,https://www.youtube.com/watch?v=Cm4sAEZqHq0
25,Public Administration,Public Sector Human Resource Management,,12th,English/Hindi,Module 12: Workplace Investigations,Workplace Investigations,https://www.youtube.com/watch?v=iRT96YJJUyc
26,Public Administration,Public Sector Human Resource Management,,12th,English/Hindi,Module 12: Workplace Investigations,Layoffs,https://www.youtube.com/watch?v=Hh53K7fQfYc
27,Public Administration,Public Sector Human Resource Management,,12th,English/Hindi,Module 13: Drug and Alcohol Policy,Drug and Alcohol Policy,https://www.youtube.com/watch?v=CHJN4DnQga0
28,Public Administration,Public Sector Human Resource Management,,12th,English/Hindi,Module 13: Drug and Alcohol Policy,Leave Administration,https://www.youtube.com/watch?v=AGxoBzUgXYs
29,Public Administration,Public Sector Human Resource Management,,12th,English/Hindi,Module 14: Minimum Wage,Minimum Wage,https://www.youtube.com/watch?v=ffFI9ubHvAQ
30,Public Administration,Public Sector Human Resource Management,,12th,English/Hindi,Module 14: Minimum Wage,Overtime,https://www.youtube.com/watch?v=t_PCPP9fSlc
31,Public Administration,Public Sector Human Resource Management,,12th,English/Hindi,Module 15: Termination Agreements,Termination Agreements,https://www.youtube.com/watch?v=9T-_pgUL-3k
