S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Public Administration,Public service innovation,63hrs 4min,12th,English/Hindi,Module 1: Introduction to Public Sector Innovation,9 Principles for Building Innovation in the Public Sector | Public Relations | Dubai | Meirc,https://www.youtube.com/watch?v=YvouTR1_cYo
2,Public Administration,Public service innovation,,12th,English/Hindi,Module 1: Introduction to Public Sector Innovation,Australian Public Service Innovations 2014,https://www.youtube.com/watch?v=py5Z25Yzj58
3,Public Administration,Public service innovation,,12th,English/Hindi,Module 1: Introduction to Public Sector Innovation,Making Public Services Better | Caroline Makepeace | TEDxStPeterPort,https://www.youtube.com/watch?v=A8_xn5JerXY
4,Public Administration,Public service innovation,,12th,English/Hindi,Module 1: Introduction to Public Sector Innovation,Doing Government Differently to Accelerate Innovation | Richard Culatta | TEDxProvidence,https://www.youtube.com/watch?v=3h-sEm2DHXU
5,Public Administration,Public service innovation,,12th,English/Hindi,Module 2: Global Perspectives on Public Sector Innovation,Let's boost service innovation!,https://www.youtube.com/watch?v=pDtLxtYzpQk
6,Public Administration,Public service innovation,,12th,English/Hindi,Module 2: Global Perspectives on Public Sector Innovation,Our Public Service 2020,https://www.youtube.com/watch?v=dWwCQQy6jsU
7,Public Administration,Public service innovation,,12th,English/Hindi,Module 2: Global Perspectives on Public Sector Innovation,What is public sector innovation?,https://www.youtube.com/watch?v=4lAWR0Tqy_8
8,Public Administration,Public service innovation,,12th,English/Hindi,Module 2: Global Perspectives on Public Sector Innovation,Public Service Innovation in South Africa,https://www.youtube.com/watch?v=Q5u3fNUYJOU
9,Public Administration,Public service innovation,,12th,English/Hindi,Module 3: Driving Innovation in Public Service,The Innovation System of the Public Service of Canada,https://www.youtube.com/watch?v=QIsY1fvTjfo
10,Public Administration,Public service innovation,,12th,English/Hindi,Module 3: Driving Innovation in Public Service,What are the different kinds of public sector innovation?,https://www.youtube.com/watch?v=xktgrzeTePI
11,Public Administration,Public service innovation,,12th,English/Hindi,Module 3: Driving Innovation in Public Service,Nicolás Rebolledo - THE VALUE OF DESIGN IN PUBLIC SERVICE INNOVATION,https://www.youtube.com/watch?v=TnTtP6Xdzro
12,Public Administration,Public service innovation,,12th,English/Hindi,Module 3: Driving Innovation in Public Service,Singapore's Public Service - Guiding Principles and a Drive Towards Innovation,https://www.youtube.com/watch?v=j21ERLJn4aw
13,Public Administration,Public service innovation,,12th,English/Hindi,Module 4: Collaboration and Design in Public Service Innovation,Leading Public Sector Innovation: Co-Creating for Better Results,https://www.youtube.com/watch?v=K4B_H4MVdfQ
14,Public Administration,Public service innovation,,12th,English/Hindi,Module 4: Collaboration and Design in Public Service Innovation,How Collaboration Leads to Public Sector Innovation,https://www.youtube.com/watch?v=Wf9q0m4tbtY
