S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Public Administration,Research Methodology | Full Course | BBA | B.Com | MBA | Phd Entrance | Ugc Net,66hrs 16min,12th,English/Hindi,Module 1: Introduction to Research Methodology,Research Methodology | Method | Process | Full Course | Introduction | Part-1 | BBA | B.Com | MBA |,https://www.youtube.com/watch?v=jyv9paQDYy0
2,Public Administration,Research Methodology | Full Course | BBA | B.Com | MBA | Phd Entrance | Ugc Net,,12th,English/Hindi,Module 1: Introduction to Research Methodology,Research Methodology | Research | Meaning | Types Of Research | Research Process | Part-2 |,https://www.youtube.com/watch?v=5RsVY3-2GTI
3,Public Administration,Research Methodology | Full Course | BBA | B.Com | MBA | Phd Entrance | Ugc Net,,12th,English/Hindi,Module 1: Introduction to Research Methodology,Research Process | Research Methodology | Research | Meaning | Types Of Research | Part-3,https://www.youtube.com/watch?v=tGFIT6NAxmw
4,Public Administration,Research Methodology | Full Course | BBA | B.Com | MBA | Phd Entrance | Ugc Net,,12th,English/Hindi,Module 1: Introduction to Research Methodology,Sample Design | Research Methodology | Research | Meaning | Types Of Research | Part-4 | BBA | B.Com,https://www.youtube.com/watch?v=SC48AiEyFAo
5,Public Administration,Research Methodology | Full Course | BBA | B.Com | MBA | Phd Entrance | Ugc Net,,12th,English/Hindi,Module 2: Research Meaning & Types,Criteria Of Good Research | Problem In Research |  Research Methodology | Part-5 | BBA | B.Com,https://www.youtube.com/watch?v=2QeRkhnVJpM
6,Public Administration,Research Methodology | Full Course | BBA | B.Com | MBA | Phd Entrance | Ugc Net,,12th,English/Hindi,Module 2: Research Meaning & Types,Research Problem Formulation | Meaning | Need | Technique | Research Methodology | Part-6 |BBA B.Com,https://www.youtube.com/watch?v=G-VOor1xU_0
7,Public Administration,Research Methodology | Full Course | BBA | B.Com | MBA | Phd Entrance | Ugc Net,,12th,English/Hindi,Module 2: Research Meaning & Types,Research Design | Meaning | Need | Types | Research Methodology | Part-7 | BBA | B.Com | MBA | M.Com,https://www.youtube.com/watch?v=vf7iJ9CSn1Q
8,Public Administration,Research Methodology | Full Course | BBA | B.Com | MBA | Phd Entrance | Ugc Net,,12th,English/Hindi,Module 3: Research Process,Research Design | Meaning | Need | Types | Research Methodology | Part-8 | BBA | B.Com | MBA | M.Com,https://www.youtube.com/watch?v=cTDoChWiwG8
9,Public Administration,Research Methodology | Full Course | BBA | B.Com | MBA | Phd Entrance | Ugc Net,,12th,English/Hindi,Module 3: Research Process,Sample Design | Meaning | Need | Steps | Research Methodology | Part-9 | BBA | B.Com | MBA | M.Com,https://www.youtube.com/watch?v=cqRbNpuuzeI
10,Public Administration,Research Methodology | Full Course | BBA | B.Com | MBA | Phd Entrance | Ugc Net,,12th,English/Hindi,Module 4: Sample Design,Sample Design | Census Survey | Sample Survey | Research Methodology | Part-10 | BBA | B.Com | MBA |,https://www.youtube.com/watch?v=oJC5WSz0QB0
11,Public Administration,Research Methodology | Full Course | BBA | B.Com | MBA | Phd Entrance | Ugc Net,,12th,English/Hindi,Module 4: Sample Design,Measurement In Research | Nominal | Ordinal | Interval | Ratio Scale | Research Methodology |Part-11,https://www.youtube.com/watch?v=MSXLgQHypVU
12,Public Administration,Research Methodology | Full Course | BBA | B.Com | MBA | Phd Entrance | Ugc Net,,12th,English/Hindi,Module 5: Good Research Criteria & Problem Identification,Measurement In Research | Sources Of Error | Good Scale - Features | Research Methodology | Part-12,https://www.youtube.com/watch?v=zZWHo8omEOg
13,Public Administration,Research Methodology | Full Course | BBA | B.Com | MBA | Phd Entrance | Ugc Net,,12th,English/Hindi,Module 5: Good Research Criteria & Problem Identification,Data Collection | Methods Of Data Collection | Primary & Secondary Data | Research Methodology | 13,https://www.youtube.com/watch?v=GmmO6T-2Dfg
14,Public Administration,Research Methodology | Full Course | BBA | B.Com | MBA | Phd Entrance | Ugc Net,,12th,English/Hindi,Module 6: Research Problem Formulation,Data Collection | Methods Of Data Collection | Primary & Secondary Data | Research Methodology | 14,https://www.youtube.com/watch?v=cHmXWe29d-M
15,Public Administration,Research Methodology | Full Course | BBA | B.Com | MBA | Phd Entrance | Ugc Net,,12th,English/Hindi,Module 6: Research Problem Formulation,Data Preparation | Editing | Coding | Classification | Tabulation | Graph | Research Methodology |15,https://www.youtube.com/watch?v=AVrb4nDljgA
16,Public Administration,Research Methodology | Full Course | BBA | B.Com | MBA | Phd Entrance | Ugc Net,,12th,English/Hindi,Module 7: Research Design,Data Interpretation | Meaning | Significance | Technique | Precaution | Research Methodology | Pt 16,https://www.youtube.com/watch?v=3yrHfMOx9jg
17,Public Administration,Research Methodology | Full Course | BBA | B.Com | MBA | Phd Entrance | Ugc Net,,12th,English/Hindi,Module 7: Research Design,Report Writing | Significance | Steps in Report Writing | Layout Of Report | Research Methodology,https://www.youtube.com/watch?v=fZ7r_cMfRRw
18,Public Administration,Research Methodology | Full Course | BBA | B.Com | MBA | Phd Entrance | Ugc Net,,12th,English/Hindi,Module 8: Data Collection & Preparation,Report Writing | Significance | Steps in Report Writing | Layout Of Report | Research Methodology 18,https://www.youtube.com/watch?v=Mb6VaB_3WHA
