S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Public Administration,Town Planning and Urban Management,85hrs 21min,12th,English/Hindi,Module 1: Introduction to Town Planning,|lecture 1|Town Planning and Urban Management,https://www.youtube.com/watch?v=RqdaT3LLctU
2,Public Administration,Town Planning and Urban Management,,12th,English/Hindi,Module 1: Introduction to Town Planning,|Lecture 2|Town planning as multidisciplinary approach,https://www.youtube.com/watch?v=gDX2SLaL3l0
3,Public Administration,Town Planning and Urban Management,,12th,English/Hindi,Module 1: Introduction to Town Planning,Lecture 3 Town Planing and Urban management,https://www.youtube.com/watch?v=PCenEAhzBzU
4,Public Administration,Town Planning and Urban Management,,12th,English/Hindi,Module 1: Introduction to Town Planning,CSS town planning lecture 4|Urban Heat Island Effect,https://www.youtube.com/watch?v=gh82n8tPh3s
5,Public Administration,Town Planning and Urban Management,,12th,English/Hindi,Module 2: Urban Heat Island Effect and Mitigation,CSS Town Planning Lecture 5| Gentrification,https://www.youtube.com/watch?v=-l5oKSP_puo
6,Public Administration,Town Planning and Urban Management,,12th,English/Hindi,Module 2: Urban Heat Island Effect and Mitigation,|Lecture 6|Town Planning and Urban Management of Ancient Civilization,https://www.youtube.com/watch?v=fHf27hqpPyg
7,Public Administration,Town Planning and Urban Management,,12th,English/Hindi,Module 2: Urban Heat Island Effect and Mitigation,|lecture 7|Affordable|Housing CSS town planning and urban management,https://www.youtube.com/watch?v=frrurvPJy6U
8,Public Administration,Town Planning and Urban Management,,12th,English/Hindi,Module 3: Urbanization and City Growth Patterns,Lecture 8| urbanisation|how does city grow|Hierarchy of settlement,https://www.youtube.com/watch?v=WsoB67jk6EI
9,Public Administration,Town Planning and Urban Management,,12th,English/Hindi,Module 3: Urbanization and City Growth Patterns,| lecture 9| Settlement |Town Planning and Urban Management|,https://www.youtube.com/watch?v=7eDcgMy657o
10,Public Administration,Town Planning and Urban Management,,12th,English/Hindi,Module 4: Urban Design Principles and Practices,Lecture 10| Town planning urban management |Urban design|,https://www.youtube.com/watch?v=WRY8x3avpdo
11,Public Administration,Town Planning and Urban Management,,12th,English/Hindi,Module 4: Urban Design Principles and Practices,Mcqs of town planning and urban management,https://www.youtube.com/watch?v=7ThNY-ti6rY
12,Public Administration,Town Planning and Urban Management,,12th,English/Hindi,Module 5: MCQs on Urban Management Practices,Mcqs of town planning|lecture 2,https://www.youtube.com/watch?v=dDo0KqTjhSw
13,Public Administration,Town Planning and Urban Management,,12th,English/Hindi,Module 5: MCQs on Urban Management Practices,Town planning and urban management,https://www.youtube.com/watch?v=7NToKOG-TuE
14,Public Administration,Town Planning and Urban Management,,12th,English/Hindi,Module 6: Case Studies in Urban Management,Town planning and urban management,https://www.youtube.com/watch?v=xjxpm-P569s
15,Public Administration,Town Planning and Urban Management,,12th,English/Hindi,Module 6: Case Studies in Urban Management,Quick session of town planning and urban management for css 2024. full course in just 2 weeks.,https://www.youtube.com/watch?v=Cu1BNx7iL1k
