S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Real Estate,Crash Course in Commercial Real Estate | Training Podcast,21hrs 6min,12th,English/Hindi,Module 1: Introduction to Commercial Real Estate,Welcome to Crash Course in Commercial Real Estate EP 01,https://www.youtube.com/watch?v=z9PCdeXhIkw
2,Real Estate,Crash Course in Commercial Real Estate | Training Podcast,,12th,English/Hindi,Module 1: Introduction to Commercial Real Estate,Why Commercial Real Estate? EP 02 | Crash Course in Commercial Real Estate,https://www.youtube.com/watch?v=sb6RloyAZ0A
3,Real Estate,Crash Course in Commercial Real Estate | Training Podcast,,12th,English/Hindi,Module 1: Introduction to Commercial Real Estate,What is Commercial Real Estate? EP 03 | Crash Course in Commercial Real Estate,https://www.youtube.com/watch?v=EsaO1BgwpZs
4,Real Estate,Crash Course in Commercial Real Estate | Training Podcast,,12th,English/Hindi,Module 1: Introduction to Commercial Real Estate,Residential Real Estate vs Commercial Real Estate EP 04 | Crash Course in Commercial Real Estate,https://www.youtube.com/watch?v=JNkLtDdhuzM
5,Real Estate,Crash Course in Commercial Real Estate | Training Podcast,,12th,English/Hindi,Module 2: Becoming a Successful Commercial Real Estate Agent,What Makes a Successful Agent? EP 05 | Crash Course in Commercial Real Estate,https://www.youtube.com/watch?v=RQdYyEns5EU
6,Real Estate,Crash Course in Commercial Real Estate | Training Podcast,,12th,English/Hindi,Module 2: Becoming a Successful Commercial Real Estate Agent,"CRE Specialties: Retail, Office & Industrial EP 06 | Crash Course in Commercial Real Estate",https://www.youtube.com/watch?v=p1pgtnUlGrc
7,Real Estate,Crash Course in Commercial Real Estate | Training Podcast,,12th,English/Hindi,Module 2: Becoming a Successful Commercial Real Estate Agent,CRE Specialties: Multi-Family & Land EP 07 | Crash Course in Commercial Real Estate,https://www.youtube.com/watch?v=h3ftgh_GwV4
8,Real Estate,Crash Course in Commercial Real Estate | Training Podcast,,12th,English/Hindi,Module 3: CRE Specialties and Getting Started,Getting Started: Building A Database EP 08 | Crash Course in Commercial Real Estate,https://www.youtube.com/watch?v=04q_02yKbd4
9,Real Estate,Crash Course in Commercial Real Estate | Training Podcast,,12th,English/Hindi,Module 3: CRE Specialties and Getting Started,Getting Started: Prospecting (Pt 1) EP 09 | Crash Course in Commercial Real Estate,https://www.youtube.com/watch?v=fL77_i9QCic
10,Real Estate,Crash Course in Commercial Real Estate | Training Podcast,,12th,English/Hindi,Module 3: CRE Specialties and Getting Started,Getting Started: Prospecting (Pt 2) EP 10 | Crash Course in Commercial Real Estate,https://www.youtube.com/watch?v=t9PmuU2kafQ
11,Real Estate,Crash Course in Commercial Real Estate | Training Podcast,,12th,English/Hindi,Module 4: Prospecting and Negotiation in Commercial Real Estate,Getting Started: Prospecting (Pt 3) EP 11 | Crash Course in Commercial Real Estate,https://www.youtube.com/watch?v=-c3H8emBQbA
12,Real Estate,Crash Course in Commercial Real Estate | Training Podcast,,12th,English/Hindi,Module 4: Prospecting and Negotiation in Commercial Real Estate,The Art of Negotiation (Pt 1) EP 12 | Crash Course in Commercial Real Estate,https://www.youtube.com/watch?v=QSuXdunA4ZI
13,Real Estate,Crash Course in Commercial Real Estate | Training Podcast,,12th,English/Hindi,Module 4: Prospecting and Negotiation in Commercial Real Estate,The Art of Negotiation (Pt 2) EP 13 | Crash Course in Commercial Real Estate,https://www.youtube.com/watch?v=jlAlAQym-pI
