S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Real Estate,Free Property Development Course,13hrs 15min,12th,English/Hindi,Module 1: Introduction to Property Development,Why should I get in Property Development?,https://www.youtube.com/watch?v=FsUFKmd9x3w
2,Real Estate,Free Property Development Course,,12th,English/Hindi,Module 1: Introduction to Property Development,How to get started in property development?,https://www.youtube.com/watch?v=84a2wKpMqQE
3,Real Estate,Free Property Development Course,,12th,English/Hindi,Module 2: Skills and Attributes of Great Property Developers,Skills and attributes of Great Property Developers Part 1 of 4,https://www.youtube.com/watch?v=3N8XUMcRVsI
4,Real Estate,Free Property Development Course,,12th,English/Hindi,Module 2: Skills and Attributes of Great Property Developers,Skills and attributes of Great Property Developers Part 3 of 4,https://www.youtube.com/watch?v=-HM4_fzDxco
5,Real Estate,Free Property Development Course,,12th,English/Hindi,Module 2: Skills and Attributes of Great Property Developers,Skills and attributes of Great Property Developers Part 2 of 4,https://www.youtube.com/watch?v=RWZqMZWTzng
6,Real Estate,Free Property Development Course,,12th,English/Hindi,Module 2: Skills and Attributes of Great Property Developers,Skills and attributes of Great Property Developers Part 4 of 4,https://www.youtube.com/watch?v=tho0cWyOgds
7,Real Estate,Free Property Development Course,,12th,English/Hindi,Module 3: Property Development Process,Property Development Process vs. System - Part 1,https://www.youtube.com/watch?v=g4UVh3vdcvk
8,Real Estate,Free Property Development Course,,12th,English/Hindi,Module 3: Property Development Process,Property Development Process [Detailed] - Part 2 of 4,https://www.youtube.com/watch?v=oYhHDcgICKE
9,Real Estate,Free Property Development Course,,12th,English/Hindi,Module 3: Property Development Process,Property Development Process Part 3 of 4,https://www.youtube.com/watch?v=gi9wgAxvCAg
10,Real Estate,Free Property Development Course,,12th,English/Hindi,Module 3: Property Development Process,Property Development Process Part 4 of 4,https://www.youtube.com/watch?v=xj5A0bKAxLc
11,Real Estate,Free Property Development Course,,12th,English/Hindi,Module 4: Property Development Financial Feasibility,How to conduct Property Development Financial Feasibility Part 1 of 2,https://www.youtube.com/watch?v=3CMF9TyepbU
12,Real Estate,Free Property Development Course,,12th,English/Hindi,Module 4: Property Development Financial Feasibility,Property Development Financial Feasibility Costs 2 of 2,https://www.youtube.com/watch?v=6NKVKLoqbKA
13,Real Estate,Free Property Development Course,,12th,English/Hindi,Module 5: Property Development Financial Feasibility Templates,Property Development Financial Feasibility Template 1 of 3,https://www.youtube.com/watch?v=28n5IoqjKVM
14,Real Estate,Free Property Development Course,,12th,English/Hindi,Module 5: Property Development Financial Feasibility Templates,Property Development Financial Feasibility Template 2 of 3,https://www.youtube.com/watch?v=Bm1laP5McS8
15,Real Estate,Free Property Development Course,,12th,English/Hindi,Module 5: Property Development Financial Feasibility Templates,Property Development Financial Feasibility Template 3 of 3,https://www.youtube.com/watch?v=v0Rbmd0Wuec
16,Real Estate,Free Property Development Course,,12th,English/Hindi,Module 6: Property Development Finance,Property Development Finance Part 1 of 2,https://www.youtube.com/watch?v=z3hnQAo8wTU
17,Real Estate,Free Property Development Course,,12th,English/Hindi,Module 6: Property Development Finance,Property Development Finance Part 2 of 2,https://www.youtube.com/watch?v=K_WvoZqR9kk
18,Real Estate,Free Property Development Course,,12th,English/Hindi,Module 7: Property Development Due Diligence,Property Development Due Diligence Part 1 of 3,https://www.youtube.com/watch?v=foiK4AR8ibA
19,Real Estate,Free Property Development Course,,12th,English/Hindi,Module 7: Property Development Due Diligence,Property Development Due Diligence Part 2 of 3,https://www.youtube.com/watch?v=vDwtRuR7KXo
20,Real Estate,Free Property Development Course,,12th,English/Hindi,Module 7: Property Development Due Diligence,Property Development Due Diligence Part 3 of 3,https://www.youtube.com/watch?v=6TxnfB1IziE
21,Real Estate,Free Property Development Course,,12th,English/Hindi,Module 8: Equity Generation through Property Development,Why property development is the fastest way I know to generate equity?,https://www.youtube.com/watch?v=CCADcUGnv24
22,Real Estate,Free Property Development Course,,12th,English/Hindi,Module 8: Equity Generation through Property Development,Property development due diligence checklist,https://www.youtube.com/watch?v=csIPKzDE9eE
23,Real Estate,Free Property Development Course,,12th,English/Hindi,Module 9: Property Development Due Diligence Checklist,Property Development Courses - Walkthrough Part 1,https://www.youtube.com/watch?v=W7IpBOpRzSc
24,Real Estate,Free Property Development Course,,12th,English/Hindi,Module 9: Property Development Due Diligence Checklist,Property Development Courses   Walkthrough Part 2,https://www.youtube.com/watch?v=QveQKqifVXM
25,Real Estate,Free Property Development Course,,12th,English/Hindi,Module 10: Property Development Courses,Property Development Course - Overview,https://www.youtube.com/watch?v=qHjZMI9m40o
26,Real Estate,Free Property Development Course,,12th,English/Hindi,Module 10: Property Development Courses,🔥 Property Development Courses,https://www.youtube.com/watch?v=kjK9W3xwd48
27,Real Estate,Free Property Development Course,,12th,English/Hindi,Module 10: Property Development Courses,How To Become a Property Developer? (In 10 Actionable Steps),https://www.youtube.com/watch?v=xhfvx2TyBQ8
28,Real Estate,Free Property Development Course,,12th,English/Hindi,Module 11: Becoming a Property Developer,Excuses I use to make before I become a property developer,https://www.youtube.com/watch?v=nUFp0zaec2Y
29,Real Estate,Free Property Development Course,,12th,English/Hindi,Module 11: Becoming a Property Developer,How to become a great property developer? Part 001,https://www.youtube.com/watch?v=sKhq_JVASzY
30,Real Estate,Free Property Development Course,,12th,English/Hindi,Module 12: Strategies for Property Development,How to become a great property developer? Part 002,https://www.youtube.com/watch?v=6b4JKQbNnuA
31,Real Estate,Free Property Development Course,,12th,English/Hindi,Module 12: Strategies for Property Development,How to Control Property with as little money of your own?,https://www.youtube.com/watch?v=3XNn7doASQc
32,Real Estate,Free Property Development Course,,12th,English/Hindi,Module 12: Strategies for Property Development,How to become a great property developer? Part 003,https://www.youtube.com/watch?v=HAdMIFFLhIY
33,Real Estate,Free Property Development Course,,12th,English/Hindi,Module 12: Strategies for Property Development,How to become a great property developer? Part 004,https://www.youtube.com/watch?v=M6szkzD8Ioo
34,Real Estate,Free Property Development Course,,12th,English/Hindi,Module 12: Strategies for Property Development,6 Property development strategies to rule them all,https://www.youtube.com/watch?v=igi9HCvIMMc
