S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Real Estate,Real Estate Economics,33hrs 15min,12th,English/Hindi,Module 1: Introduction to Real Estate,Real Estate Course Introduction,https://www.youtube.com/watch?v=EStQpyo0v0g
2,Real Estate,Real Estate Economics,,12th,English/Hindi,Module 1: Introduction to Real Estate,Time Value of Money,https://www.youtube.com/watch?v=dussPmxBzzI
3,Real Estate,Real Estate Economics,,12th,English/Hindi,Module 1: Introduction to Real Estate,Mortgage Calculations Using Excel,https://www.youtube.com/watch?v=gyMqocUUt8Y
4,Real Estate,Real Estate Economics,,12th,English/Hindi,Module 1: Introduction to Real Estate,Leverage,https://www.youtube.com/watch?v=QMP0k7TfO5o
5,Real Estate,Real Estate Economics,,12th,English/Hindi,Module 2: Leverage and Taxes in Real Estate,Why Are Certain Properties Taxable,https://www.youtube.com/watch?v=xKxpVUamSpA
6,Real Estate,Real Estate Economics,,12th,English/Hindi,Module 2: Leverage and Taxes in Real Estate,Business Income or Capital Gain,https://www.youtube.com/watch?v=wHrJWYZSQpU
7,Real Estate,Real Estate Economics,,12th,English/Hindi,Module 2: Leverage and Taxes in Real Estate,Principal Residence Tax Exemption,https://www.youtube.com/watch?v=UpA2uox7eGM
8,Real Estate,Real Estate Economics,,12th,English/Hindi,Module 3: Real Estate Taxation,Business Income  How to make the most of it,https://www.youtube.com/watch?v=HPjg1rmFV8Q
9,Real Estate,Real Estate Economics,,12th,English/Hindi,Module 3: Real Estate Taxation,Subdividing Land,https://www.youtube.com/watch?v=tcApephVh_8
10,Real Estate,Real Estate Economics,,12th,English/Hindi,Module 3: Real Estate Taxation,Mathematics Behind Income Taxes,https://www.youtube.com/watch?v=X9jcw9S9mB0
11,Real Estate,Real Estate Economics,,12th,English/Hindi,Module 4: Real Estate Investments and Income,Income tax brackets,https://www.youtube.com/watch?v=v9TxtqbM92E
12,Real Estate,Real Estate Economics,,12th,English/Hindi,Module 4: Real Estate Investments and Income,TFSA VS RRSP: A Mathematical Perspective,https://www.youtube.com/watch?v=gwDOz4b6WMk
13,Real Estate,Real Estate Economics,,12th,English/Hindi,Module 4: Real Estate Investments and Income,Tax Free Savings Accounts Details,https://www.youtube.com/watch?v=2h7FjYuU2ZE
14,Real Estate,Real Estate Economics,,12th,English/Hindi,Module 5: Understanding Income Taxes,What is an RRSP?,https://www.youtube.com/watch?v=nHzC5gQezT4
15,Real Estate,Real Estate Economics,,12th,English/Hindi,Module 5: Understanding Income Taxes,Mortgages,https://www.youtube.com/watch?v=WSMkreve5zg
16,Real Estate,Real Estate Economics,,12th,English/Hindi,Module 5: Understanding Income Taxes,Mathematics EXTRA Related to Mortgages,https://www.youtube.com/watch?v=yYUxtnKOqUw
17,Real Estate,Real Estate Economics,,12th,English/Hindi,Module 6: Retirement Planning and Real Estate,Land Transfer Tax,https://www.youtube.com/watch?v=_8SY3Er3NsY
18,Real Estate,Real Estate Economics,,12th,English/Hindi,Module 6: Retirement Planning and Real Estate,Home Buyers Plan,https://www.youtube.com/watch?v=29Qsc0FbtKA
19,Real Estate,Real Estate Economics,,12th,English/Hindi,Module 6: Retirement Planning and Real Estate,Mortgage Loan Insurance,https://www.youtube.com/watch?v=wLveflKhZH8
20,Real Estate,Real Estate Economics,,12th,English/Hindi,Module 6: Retirement Planning and Real Estate,Municipal Taxes,https://www.youtube.com/watch?v=hqK7ZOtmWF8
21,Real Estate,Real Estate Economics,,12th,English/Hindi,Module 7: Mortgages and Financing,Realtor Duproprio,https://www.youtube.com/watch?v=5TcWX4IOzLo
22,Real Estate,Real Estate Economics,,12th,English/Hindi,Module 7: Mortgages and Financing,HELOC Trick,https://www.youtube.com/watch?v=Kc0naJc-MLw
23,Real Estate,Real Estate Economics,,12th,English/Hindi,Module 7: Mortgages and Financing,Different Methods Of Valuing Real Estate,https://www.youtube.com/watch?v=MzOY6CCHYnQ
24,Real Estate,Real Estate Economics,,12th,English/Hindi,Module 8: Real Estate Transactions and Costs,Comparison Approach to Valuation,https://www.youtube.com/watch?v=crY5WXKKe8g
25,Real Estate,Real Estate Economics,,12th,English/Hindi,Module 8: Real Estate Transactions and Costs,INFOLOT,https://www.youtube.com/watch?v=OM43-PNIrJI
26,Real Estate,Real Estate Economics,,12th,English/Hindi,Module 8: Real Estate Transactions and Costs,Income Approach to Valuation,https://www.youtube.com/watch?v=8sBjI_7grxg
27,Real Estate,Real Estate Economics,,12th,English/Hindi,Module 8: Real Estate Transactions and Costs,AIRBNB,https://www.youtube.com/watch?v=09nhzthORsQ
28,Real Estate,Real Estate Economics,,12th,English/Hindi,Module 9: Property Valuation,Cost Approach to Valuation,https://www.youtube.com/watch?v=vVOB9_9Foro
29,Real Estate,Real Estate Economics,,12th,English/Hindi,Module 9: Property Valuation,Sales Tax Applied To New Constructions,https://www.youtube.com/watch?v=FJ7RlTzP6s4
