S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Real Estate,Real Estate Finance,9hrs 13min,12th,English/Hindi,Module 1: Loan Basics,How Principal & Interest Are Applied In Loan Payments | Explained With Example,https://www.youtube.com/watch?v=JvEOX9DcZn8
2,Real Estate,Real Estate Finance,,12th,English/Hindi,Module 1: Loan Basics,Subordination of Lien Position,https://www.youtube.com/watch?v=6NHZpDl0vFc
3,Real Estate,Real Estate Finance,,12th,English/Hindi,Module 1: Loan Basics,Loan to Value Ratio “LTV” Explained,https://www.youtube.com/watch?v=N2I11H2SlAQ
4,Real Estate,Real Estate Finance,,12th,English/Hindi,Module 1: Loan Basics,Fixed-Rate Mortgage Loan,https://www.youtube.com/watch?v=mw_0xgY2tXQ
5,Real Estate,Real Estate Finance,,12th,English/Hindi,Module 2: Loan Structures & Terms,“ARM Loans” Adjustable Rate Mortgage Terms You Need to Know,https://www.youtube.com/watch?v=3u6y_I57o9Y
6,Real Estate,Real Estate Finance,,12th,English/Hindi,Module 2: Loan Structures & Terms,“DSCR” Debt Service Coverage Ratio Explained,https://www.youtube.com/watch?v=2cFIwSgUOQM
7,Real Estate,Real Estate Finance,,12th,English/Hindi,Module 2: Loan Structures & Terms,How To Calculate Cash-On-Cash Return,https://www.youtube.com/watch?v=tvh4witb2qc
8,Real Estate,Real Estate Finance,,12th,English/Hindi,Module 2: Loan Structures & Terms,Loan Amortization Explained,https://www.youtube.com/watch?v=xKjsgMEXDV8
9,Real Estate,Real Estate Finance,,12th,English/Hindi,Module 3: Understanding Key Ratios,Balloon Payment Explained,https://www.youtube.com/watch?v=XDEwY9aaSUw
10,Real Estate,Real Estate Finance,,12th,English/Hindi,Module 3: Understanding Key Ratios,How to Calculate Loan Constant,https://www.youtube.com/watch?v=c9k2CETUkqM
11,Real Estate,Real Estate Finance,,12th,English/Hindi,Module 4: Loan Calculations & Concepts,“Principal Paydown” Principal Reduction Explained,https://www.youtube.com/watch?v=U2cdC2_TXHQ
12,Real Estate,Real Estate Finance,,12th,English/Hindi,Module 4: Loan Calculations & Concepts,Basis Point Explained (aka “Bips”),https://www.youtube.com/watch?v=VjC3SfOplSU
13,Real Estate,Real Estate Finance,,12th,English/Hindi,Module 4: Loan Calculations & Concepts,Annual Debt Service Explained,https://www.youtube.com/watch?v=L8q91lOw_as
14,Real Estate,Real Estate Finance,,12th,English/Hindi,Module 4: Loan Calculations & Concepts,“Bad-Boy Carve Outs” Explained,https://www.youtube.com/watch?v=TSmAlEMnCnU
15,Real Estate,Real Estate Finance,,12th,English/Hindi,Module 5: Debt & Recourse,Recourse vs. Non-Recourse Debt,https://www.youtube.com/watch?v=VXqgmOl05Lo
16,Real Estate,Real Estate Finance,,12th,English/Hindi,Module 5: Debt & Recourse,What Determines Mortgage Rates? | How Interest Rates Are Set,https://www.youtube.com/watch?v=k1caqlVu574
17,Real Estate,Real Estate Finance,,12th,English/Hindi,Module 6: Mortgage Specifics,Combo Loans Explained,https://www.youtube.com/watch?v=LucJ6m8wR3M
18,Real Estate,Real Estate Finance,,12th,English/Hindi,Module 6: Mortgage Specifics,“Points” and Fees Explained | Understand Discount Points and Mortgage Loan Fees,https://www.youtube.com/watch?v=1ycTCPZ2L0k
19,Real Estate,Real Estate Finance,,12th,English/Hindi,Module 6: Mortgage Specifics,Why to ALWAYS Use a Commercial Mortgage Broker,https://www.youtube.com/watch?v=z19d-pa7xH0
20,Real Estate,Real Estate Finance,,12th,English/Hindi,Module 7: Working with Professionals & Documents,Subordination and Lien Position Explained,https://www.youtube.com/watch?v=DAziOJ15Z7s
21,Real Estate,Real Estate Finance,,12th,English/Hindi,Module 7: Working with Professionals & Documents,Promissory Notes Explained,https://www.youtube.com/watch?v=Z-MpltBp8qA
22,Real Estate,Real Estate Finance,,12th,English/Hindi,Module 8: Understanding Payments & Appraisals,Why Your Balance Goes UP After Making a Payment,https://www.youtube.com/watch?v=Fe-EV6u-lHw
23,Real Estate,Real Estate Finance,,12th,English/Hindi,Module 8: Understanding Payments & Appraisals,Real Estate Appraisals Explained,https://www.youtube.com/watch?v=lQf1dsS6oG4
24,Real Estate,Real Estate Finance,,12th,English/Hindi,"Module 9: Risk, Return & Leverage",Risk and Return in Finance and Investments,https://www.youtube.com/watch?v=_ZSeaZTJcUM
25,Real Estate,Real Estate Finance,,12th,English/Hindi,"Module 9: Risk, Return & Leverage",Mezzanine Debt & Weighted Average Cost of Capital,https://www.youtube.com/watch?v=widOh-0HMKk
26,Real Estate,Real Estate Finance,,12th,English/Hindi,"Module 9: Risk, Return & Leverage",How Leverage Impacts Your Return On Investment (ROI),https://www.youtube.com/watch?v=8QplNAC9RPI
27,Real Estate,Real Estate Finance,,12th,English/Hindi,Module 10: Advanced Loan Structures,How Leverage Impacts Your Return on Investment,https://www.youtube.com/watch?v=XcLXUamWltk
28,Real Estate,Real Estate Finance,,12th,English/Hindi,Module 10: Advanced Loan Structures,ARM Loans - Adjustable Rate Mortgage Loan Terms Explained,https://www.youtube.com/watch?v=n0RApgCWXeM
29,Real Estate,Real Estate Finance,,12th,English/Hindi,Module 10: Advanced Loan Structures,Tranches & Mortgage Backed Securities Explained,https://www.youtube.com/watch?v=mYCkZ2kkGLA
30,Real Estate,Real Estate Finance,,12th,English/Hindi,Module 11: Specialized Loans & Programs,"Prepayment Penalties - Step Down, Yield Maintenance, and Defeasance Explained",https://www.youtube.com/watch?v=5jDpcZn_IZM
31,Real Estate,Real Estate Finance,,12th,English/Hindi,Module 11: Specialized Loans & Programs,Construction Loans Explained,https://www.youtube.com/watch?v=jAyBgUv5nB4
