S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Real Estate,Real Estate Law Playlist,21hrs 3min,12th,English/Hindi,Module 1: Making an Offer & Understanding Contracts,Making an offer on a home | Housing | Finance & Capital Markets | Khan Academy,https://www.youtube.com/watch?v=JVcbDb3e-6w
2,Real Estate,Real Estate Law Playlist,,12th,English/Hindi,Module 1: Making an Offer & Understanding Contracts,Real Estate Core Law - Part 1: Contracts,https://www.youtube.com/watch?v=x_2qvgroLJQ
3,Real Estate,Real Estate Law Playlist,,12th,English/Hindi,Module 1: Making an Offer & Understanding Contracts,Real Estate Core Law - Part 2: Agency,https://www.youtube.com/watch?v=MdQjD6nXHkg
4,Real Estate,Real Estate Law Playlist,,12th,English/Hindi,Module 1: Making an Offer & Understanding Contracts,Escrow | Housing | Finance & Capital Markets | Khan Academy,https://www.youtube.com/watch?v=FDJ4D78pcbg
5,Real Estate,Real Estate Law Playlist,,12th,English/Hindi,"Module 2: Agency, Escrow, and Titles",Types of escrow in real estate | Housing | Finance & Capital Markets | Khan Academy,https://www.youtube.com/watch?v=haS083Zbib4
6,Real Estate,Real Estate Law Playlist,,12th,English/Hindi,"Module 2: Agency, Escrow, and Titles",Titles and deeds in real estate | Housing | Finance & Capital Markets | Khan Academy,https://www.youtube.com/watch?v=ZGIPntpFCOc
7,Real Estate,Real Estate Law Playlist,,12th,English/Hindi,"Module 2: Agency, Escrow, and Titles",Learn Real Estate Title Searching by a Professional Title Company,https://www.youtube.com/watch?v=1UmZhCshGFc
8,Real Estate,Real Estate Law Playlist,,12th,English/Hindi,"Module 2: Agency, Escrow, and Titles",Real Estate Core Law - Part 3: Real Property Interests,https://www.youtube.com/watch?v=VvVxSd9fS2E
9,Real Estate,Real Estate Law Playlist,,12th,English/Hindi,Module 3: Real Property Interests & Title Insurance,Titles insurance | Housing | Finance & Capital Markets | Khan Academy,https://www.youtube.com/watch?v=ji4ilvfmTEw
10,Real Estate,Real Estate Law Playlist,,12th,English/Hindi,Module 3: Real Property Interests & Title Insurance,How to Read a Title Insurance Commitment (Preliminary Title Report),https://www.youtube.com/watch?v=3Tsn-A6_2aw
11,Real Estate,Real Estate Law Playlist,,12th,English/Hindi,Module 3: Real Property Interests & Title Insurance,Introduction to Mortgage Loans,https://www.youtube.com/watch?v=mhRL99LqxMc
12,Real Estate,Real Estate Law Playlist,,12th,English/Hindi,Module 4: Introduction to Mortgages,Mortgage Interest Rates | Housing | Finance & Capital Markets | Khan Academy,https://www.youtube.com/watch?v=vy_pvstdBhg
13,Real Estate,Real Estate Law Playlist,,12th,English/Hindi,Module 4: Introduction to Mortgages,Annual Percentage Rate (APR) and effective APR | Finance & Capital Markets | Khan Academy,https://www.youtube.com/watch?v=RuPMsK0mQC8
14,Real Estate,Real Estate Law Playlist,,12th,English/Hindi,Module 4: Introduction to Mortgages,Adjustable rate mortgages ARMs | Housing | Finance & Capital Markets | Khan Academy,https://www.youtube.com/watch?v=S-mTwg73jCY
15,Real Estate,Real Estate Law Playlist,,12th,English/Hindi,Module 4: Introduction to Mortgages,Balloon payment mortgage | Housing | Finance & Capital Markets | Khan Academy,https://www.youtube.com/watch?v=Qt-CWv6HEII
16,Real Estate,Real Estate Law Playlist,,12th,English/Hindi,Module 5: Mortgage Types & Equity,Housing equity loans | Housing | Finance & Capital Markets | Khan Academy,https://www.youtube.com/watch?v=7rrSuhFC7I0
17,Real Estate,Real Estate Law Playlist,,12th,English/Hindi,Module 5: Mortgage Types & Equity,Short sale basics | Housing | Finance & Capital Markets | Khan Academy,https://www.youtube.com/watch?v=5YfO4CshL7Y
18,Real Estate,Real Estate Law Playlist,,12th,English/Hindi,Module 5: Mortgage Types & Equity,Understanding Loan Documents,https://www.youtube.com/watch?v=ARzKY8YJ9Io
19,Real Estate,Real Estate Law Playlist,,12th,English/Hindi,Module 6: Loan Documents & Closing Costs,Real Estate Closing Costs Explained,https://www.youtube.com/watch?v=DEFURwQ2KQ4
