S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Real Estate,Real Estate,34hrs 0min,12th,English/Hindi,Module 1: RERA Explained,"Carpet Area (RERA) - Calculation, Formula & Measurement [Hindi]",https://www.youtube.com/watch?v=sjv7XMUQzgE
2,Real Estate,Real Estate,,12th,English/Hindi,Module 1: RERA Explained,"Built Up Area (RERA) - Calculation, Meaning & Formula [Hindi]",https://www.youtube.com/watch?v=bvSIfn-MM5s
3,Real Estate,Real Estate,,12th,English/Hindi,Module 1: RERA Explained,"Super Built Up Area (RERA) - Meaning, Calculation & Formula [Hindi]",https://www.youtube.com/watch?v=a4MYLAQ3744
4,Real Estate,Real Estate,,12th,English/Hindi,Module 1: RERA Explained,"Floor Area Ratio (FAR) - Calculation, Formula and Concept (Hindi)",https://www.youtube.com/watch?v=8wLMTmkU1Q4
5,Real Estate,Real Estate,,12th,English/Hindi,Module 2: Area Calculation and Understanding,"FSI (Floor Space Index) - Calculation, Formula, Concept with Example (Hindi)",https://www.youtube.com/watch?v=Nw9w2xhzU1M
6,Real Estate,Real Estate,,12th,English/Hindi,Module 2: Area Calculation and Understanding,Encumbrance - Explained (Hindi),https://www.youtube.com/watch?v=Ab-Ugt50fS8
7,Real Estate,Real Estate,,12th,English/Hindi,Module 2: Area Calculation and Understanding,Sale Deed - Explained in Hindi,https://www.youtube.com/watch?v=pPezwHazJPA
8,Real Estate,Real Estate,,12th,English/Hindi,Module 2: Area Calculation and Understanding,Conveyance Deed - Explained (Hindi),https://www.youtube.com/watch?v=DVmJ1tiUEVI
9,Real Estate,Real Estate,,12th,English/Hindi,Module 3: Property Documents Explained,Stamp Duty and Registration Charges in India - Calculation & Process (Hindi),https://www.youtube.com/watch?v=_gQvb4sRMYI
10,Real Estate,Real Estate,,12th,English/Hindi,Module 3: Property Documents Explained,Agreement for Sale of Property and Land - Explained in Hindi,https://www.youtube.com/watch?v=3L2ninpXC4c
11,Real Estate,Real Estate,,12th,English/Hindi,Module 3: Property Documents Explained,Encumbrance Certificate - Explained (Hindi),https://www.youtube.com/watch?v=_HONQZduf0w
12,Real Estate,Real Estate,,12th,English/Hindi,Module 3: Property Documents Explained,Rent Agreement कैसे बनायें - Lease Agreement in India,https://www.youtube.com/watch?v=Ps3SaZ2Aryc
13,Real Estate,Real Estate,,12th,English/Hindi,Module 4: Property Taxes and Charges,Power of Attorney - General (GPA) & Special (SPA) Explained in Hindi,https://www.youtube.com/watch?v=TULa9c4FvCU
14,Real Estate,Real Estate,,12th,English/Hindi,Module 4: Property Taxes and Charges,Occupancy Certificate & Completion Certificate को आसान भाषा में समझें,https://www.youtube.com/watch?v=o2En3CFKDTc
15,Real Estate,Real Estate,,12th,English/Hindi,Module 4: Property Taxes and Charges,Circle Rate - Explained (Hindi),https://www.youtube.com/watch?v=DPnVE7au0xo
16,Real Estate,Real Estate,,12th,English/Hindi,Module 5: Legal Aspects of Real Estate,Real Estate में GST कितना और कैसे लगता है ?,https://www.youtube.com/watch?v=VllKBBddhuo
17,Real Estate,Real Estate,,12th,English/Hindi,Module 5: Legal Aspects of Real Estate,Approved Project Financial (APF) Number or Code in Under-Construction Property (Hindi),https://www.youtube.com/watch?v=ygTvuGUSvxE
18,Real Estate,Real Estate,,12th,English/Hindi,Module 5: Legal Aspects of Real Estate,"Property Valuation Method 1 - Fair Market Value (Hindi, India)",https://www.youtube.com/watch?v=S5ipCt6VOvA
19,Real Estate,Real Estate,,12th,English/Hindi,Module 6: Property Valuation,"New Property Valuation Method (2) - Land and Building Method (Hindi, India)",https://www.youtube.com/watch?v=ICgPWYLwY9E
20,Real Estate,Real Estate,,12th,English/Hindi,Module 6: Property Valuation,"Easiest Property Valuation Method (3) - Rent Yield  (Hindi, India)",https://www.youtube.com/watch?v=3sRr6WKPRlI
21,Real Estate,Real Estate,,12th,English/Hindi,Module 6: Property Valuation,Real Estate में Buyers और Investors के लिए RERA Act-2017 का महत्व,https://www.youtube.com/watch?v=IV5om4SsuCY
22,Real Estate,Real Estate,,12th,English/Hindi,Module 7: Understanding RERA Act 2017,RERA Act 2017 ने ऐसे किया Builders और developers का फ़ायदा,https://www.youtube.com/watch?v=qW3GNNlEoBI
23,Real Estate,Real Estate,,12th,English/Hindi,Module 7: Understanding RERA Act 2017,Freehold Property vs Leasehold Property - Explained in Hindi,https://www.youtube.com/watch?v=Z65o-u9r4BI
24,Real Estate,Real Estate,,12th,English/Hindi,Module 7: Understanding RERA Act 2017,How to Buy Ready to Move Property in India - Documents and Process,https://www.youtube.com/watch?v=xsweXvuOOVA
25,Real Estate,Real Estate,,12th,English/Hindi,Module 8: Types of Property Ownership,Under Construction Property कैसे खरीदें? - Process और  Documents समझिये,https://www.youtube.com/watch?v=-5OTO5-y9v0
26,Real Estate,Real Estate,,12th,English/Hindi,Module 8: Types of Property Ownership,Agricultural Land कैसे खरीदें? समझो पूरा Process और Documents,https://www.youtube.com/watch?v=3VBjwrqn52Y
27,Real Estate,Real Estate,,12th,English/Hindi,Module 8: Types of Property Ownership,How to Buy Plot in India - Documents and Process,https://www.youtube.com/watch?v=JOOJ-nusyXE
28,Real Estate,Real Estate,,12th,English/Hindi,Module 9: Buying Different Property Types,Commercial Property Investment in India - A Beginners Guide,https://www.youtube.com/watch?v=QGfQMqPc9kE
29,Real Estate,Real Estate,,12th,English/Hindi,Module 9: Buying Different Property Types,How to invest in Shop and Office Commercial Real Estate in India (Hindi),https://www.youtube.com/watch?v=Hvf7kSwgpDE
30,Real Estate,Real Estate,,12th,English/Hindi,Module 9: Buying Different Property Types,Commercial Property Valuation and Returns in India,https://www.youtube.com/watch?v=qQ5uEbLycLs
31,Real Estate,Real Estate,,12th,English/Hindi,Module 9: Buying Different Property Types,Commercial Property vs Residential Property Investment in India (Hindi),https://www.youtube.com/watch?v=Yoa0zjSLSkw
32,Real Estate,Real Estate,,12th,English/Hindi,Module 10: Commercial Real Estate,Transferable Development Rights (TDR) - Explained in Hindi,https://www.youtube.com/watch?v=a0kKVKzbiY4
33,Real Estate,Real Estate,,12th,English/Hindi,Module 10: Commercial Real Estate,"Under Construction, Resale Flat or Ready to Move Property in India?",https://www.youtube.com/watch?v=_bi-3ZlQCk0
34,Real Estate,Real Estate,,12th,English/Hindi,Module 10: Commercial Real Estate,9 Hidden Charges while Buying a Property in India,https://www.youtube.com/watch?v=xH_FDlzQPUQ
35,Real Estate,Real Estate,,12th,English/Hindi,Module 11: Property Investment Considerations,Mutation of Land and Property (इंतकाल/ दाखिल खारिज) को आसान भाषा में समझिये,https://www.youtube.com/watch?v=k3qKNxajvZ4
36,Real Estate,Real Estate,,12th,English/Hindi,Module 11: Property Investment Considerations,RERA का सब कुछ आसान भाषा में - Real Estate Regulation & Development Act 2017,https://www.youtube.com/watch?v=UclZYjjxKco
37,Real Estate,Real Estate,,12th,English/Hindi,Module 11: Property Investment Considerations,RERA Act for Real Estate Agents and Brokers (Hindi) - 2017,https://www.youtube.com/watch?v=rI19E8VBX2I
38,Real Estate,Real Estate,,12th,English/Hindi,Module 12: Property Mutation & RERA Insights,"Stamp Duty Relief in Circle Rate, Ready Reckoner Rate, Guideline Value | Budget 2018-19",https://www.youtube.com/watch?v=-63tZxx6D9A
39,Real Estate,Real Estate,,12th,English/Hindi,Module 12: Property Mutation & RERA Insights,Market Valuation Guidelines of Land & Property for Stamp Duty in MP & Chhattisgarh,https://www.youtube.com/watch?v=VThfpC2P0Qk
40,Real Estate,Real Estate,,12th,English/Hindi,Module 12: Property Mutation & RERA Insights,EDC IDC Infrastructure Charges in Real Estate,https://www.youtube.com/watch?v=Ui99w8yHUfk
41,Real Estate,Real Estate,,12th,English/Hindi,Module 13: Stamp Duty and Market Valuation,Change of Land Use (CLU) to Non Agricultural (NA) Land - Hindi,https://www.youtube.com/watch?v=msfltPg5ZRw
42,Real Estate,Real Estate,,12th,English/Hindi,Module 13: Stamp Duty and Market Valuation,How to Sell Property in India? - Hindi,https://www.youtube.com/watch?v=DFHWmUPz8Ds
43,Real Estate,Real Estate,,12th,English/Hindi,Module 13: Stamp Duty and Market Valuation,Property on GPA (General Power of Attorney) - Is it safe? (Hindi),https://www.youtube.com/watch?v=GFH_4Y1a2rk
44,Real Estate,Real Estate,,12th,English/Hindi,Module 14: Land Use and Selling Property,Property Card - Explained in Hindi,https://www.youtube.com/watch?v=4HEt2wXEnEk
45,Real Estate,Real Estate,,12th,English/Hindi,Module 14: Land Use and Selling Property,"Plot Loan for Land Purchase - Eligibility, Interest Rates & EMI [Hindi]",https://www.youtube.com/watch?v=jVJw5wjM9rI
46,Real Estate,Real Estate,,12th,English/Hindi,Module 14: Land Use and Selling Property,Unauthorised & Illegal Colonies in India | Hindi,https://www.youtube.com/watch?v=g7JUNY5Gpqc
47,Real Estate,Real Estate,,12th,English/Hindi,Module 15: Property Ownership & Loans,How To Buy Cooperative Group Housing Society Flat?,https://www.youtube.com/watch?v=DZbAs_DmwdA
48,Real Estate,Real Estate,,12th,English/Hindi,Module 15: Property Ownership & Loans,Property Registration Process in India - Hindi,https://www.youtube.com/watch?v=S3KW_a4lLHc
49,Real Estate,Real Estate,,12th,English/Hindi,Module 15: Property Ownership & Loans,Property Title Fraud & Title Search in India | Hindi,https://www.youtube.com/watch?v=b_Qnmht888I
50,Real Estate,Real Estate,,12th,English/Hindi,Module 16:  Understanding Property Frauds,Property Frauds & Real Estate Scams In India - Hindi,https://www.youtube.com/watch?v=MLDZTRFZ4R4
51,Real Estate,Real Estate,,12th,English/Hindi,Module 16:  Understanding Property Frauds,Lease Rental Discounting (LRD) Loan - Hindi,https://www.youtube.com/watch?v=ip7kmnDH8oc
52,Real Estate,Real Estate,,12th,English/Hindi,Module 16:  Understanding Property Frauds,Real Estate Investment Trust (REIT) in India - Explained in Hindi,https://www.youtube.com/watch?v=sYFO7Gh60Hk
53,Real Estate,Real Estate,,12th,English/Hindi,Module 17: Investment Trusts and Property,Infrastructure Investment Trust - InvIT India (Hindi),https://www.youtube.com/watch?v=q_TKZUlBrV8
