S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Real Estate,Technology in Real Estate,1hrs 8min,12th,English/Hindi,Module 1: Introduction to AI in Real Estate,Will AI Replace Real Estate Professionals? Pt.2 #ai,https://www.youtube.com/watch?v=Fv_lBLvYx7o
2,Real Estate,Technology in Real Estate,,12th,English/Hindi,Module 1: Introduction to AI in Real Estate,Will AI Replace Real Estate Professionals? Pt.1 #ai,https://www.youtube.com/watch?v=myJ3Zg1cevA
3,Real Estate,Technology in Real Estate,,12th,English/Hindi,Module 1: Introduction to AI in Real Estate,3 Proven Tactics to Grow Your Business in Real Estate #marketing,https://www.youtube.com/watch?v=D_dcrC9zZAk
4,Real Estate,Technology in Real Estate,,12th,English/Hindi,Module 1: Introduction to AI in Real Estate,"AI's Influence on the Future of Commercial Real Estate, Explained",https://www.youtube.com/watch?v=OiWNFiDzYYU
5,Real Estate,Technology in Real Estate,,12th,English/Hindi,Module 2: AI's Influence on the Future of Commercial Real Estate,Office Sharing Platform Like WeWork Can't Survive #wework #realestate,https://www.youtube.com/watch?v=Gfw9YUmV11E
6,Real Estate,Technology in Real Estate,,12th,English/Hindi,Module 2: AI's Influence on the Future of Commercial Real Estate,The Most Challenging...and EXCITING Client: Working With Skyports,https://www.youtube.com/watch?v=VFw3UiNHAdg
7,Real Estate,Technology in Real Estate,,12th,English/Hindi,Module 3: Metaverse and Real Estate,Simple Trick to Avoid Lawsuits and Get Website ADA Compliant #webdevelopment,https://www.youtube.com/watch?v=Ejg61Vt-Hi8
8,Real Estate,Technology in Real Estate,,12th,English/Hindi,Module 3: Metaverse and Real Estate,Tips to Make Your Website ADA Compliant: Don't Get Sued! #webdevelopment,https://www.youtube.com/watch?v=ngo41SckPJU
9,Real Estate,Technology in Real Estate,,12th,English/Hindi,Module 3: Metaverse and Real Estate,How to Run Your Social Media Video Campaign #marketing,https://www.youtube.com/watch?v=hSsWxwArBI0
10,Real Estate,Technology in Real Estate,,12th,English/Hindi,Module 4: The Future of Office Spaces,Avoiding Legal Pitfalls: How to Make Your Website ADA Compliant,https://www.youtube.com/watch?v=H0HJCd2_zyo
11,Real Estate,Technology in Real Estate,,12th,English/Hindi,Module 4: The Future of Office Spaces,Navigating High-Profile Real Estate Clients: Representing Elon Musk - The Boring Company,https://www.youtube.com/watch?v=MinXzk1_2Pg
12,Real Estate,Technology in Real Estate,,12th,English/Hindi,Module 4: The Future of Office Spaces,"How 3D Printing is Transforming Labor, Material, and Time in Building Projects",https://www.youtube.com/watch?v=Mn-jsOCtoAw
13,Real Estate,Technology in Real Estate,,12th,English/Hindi,Module 5: 3D Printing and Construction,The Social Media Revolution in Commercial Real Estate: What You Need to Know,https://www.youtube.com/watch?v=odgiec2hmdU
14,Real Estate,Technology in Real Estate,,12th,English/Hindi,Module 5: 3D Printing and Construction,Grow Your Real Estate Business: Mastering Analytics for Effective Property Marketing,https://www.youtube.com/watch?v=rxWJSHsk7FU
15,Real Estate,Technology in Real Estate,,12th,English/Hindi,Module 6:  The Power of Social Media in Real Estate,Branding in the Digital Age: Tips for Building an Online Presence,https://www.youtube.com/watch?v=jUo6_aGdc9w
16,Real Estate,Technology in Real Estate,,12th,English/Hindi,Module 6:  The Power of Social Media in Real Estate,Get Ahead of the Game: Learn from Top Performing Brokers at CRE Influencers Summit,https://www.youtube.com/watch?v=hFAMHI67Nm8
17,Real Estate,Technology in Real Estate,,12th,English/Hindi,Module 6:  The Power of Social Media in Real Estate,The Importance of a Strong Online Profile: How it Can Help You Stand Out,https://www.youtube.com/watch?v=MRgXz6dJJcE
18,Real Estate,Technology in Real Estate,,12th,English/Hindi,Module 6:  The Power of Social Media in Real Estate,How To Set Up Your Linkedin Profile To Generate More Business,https://www.youtube.com/watch?v=ikLdXr6V-j0
19,Real Estate,Technology in Real Estate,,12th,English/Hindi,Module 7: Website Development and Legal Compliance for Real Estate,How to Lease Your Commercial Real Estate Quicker With Less Cost: Josh Feinberg CEO of OTSO,https://www.youtube.com/watch?v=ADsLF8zZeW4
20,Real Estate,Technology in Real Estate,,12th,English/Hindi,Module 7: Website Development and Legal Compliance for Real Estate,"How Social Media Is Changing the Commercial Real Estate Industry: Jay Olshonsky, CEO of NAI Global",https://www.youtube.com/watch?v=sp2W3fNPRsI
21,Real Estate,Technology in Real Estate,,12th,English/Hindi,Module 7: Website Development and Legal Compliance for Real Estate,Here’s How Real Estate Is Performing Currently In The Metaverse- Kristi Waterworth,https://www.youtube.com/watch?v=fjW_AVQgXZs
22,Real Estate,Technology in Real Estate,,12th,English/Hindi,Module 7: Website Development and Legal Compliance for Real Estate,Learn How To Invest In Metaverse Real Estate: Explained,https://www.youtube.com/watch?v=zzItxZHCJkU
23,Real Estate,Technology in Real Estate,,12th,English/Hindi,Module 8:  Podcast Marketing in Real Estate,What is The Future of AI in Commercial Real Estate: Kyle Inserra,https://www.youtube.com/watch?v=B3KA9MPr_FQ
24,Real Estate,Technology in Real Estate,,12th,English/Hindi,Module 8:  Podcast Marketing in Real Estate,The Ultimate Guide To A Successful Podcast: Featuring Michael Bull,https://www.youtube.com/watch?v=j4nfWGonotg
25,Real Estate,Technology in Real Estate,,12th,English/Hindi,Module 8:  Podcast Marketing in Real Estate,How New Technology like Knotel can Impact Office Leasing,https://www.youtube.com/watch?v=fuGvzrhJ5vw
