S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Real Estate,The Future of Sustainable Real Estate,13hrs 16min,12th,English/Hindi,Module 1: Introduction to Sustainable Real Estate,What was the Demand for Sustainable Real Estate from the Residential Projects?- Ms. Chitra Jain,https://www.youtube.com/watch?v=uheNxbqxvhI
2,Real Estate,The Future of Sustainable Real Estate,,12th,English/Hindi,Module 1: Introduction to Sustainable Real Estate,"Dr  Niranjan Hiranandani, Vice Chairman NAREDCO giving his opening remarks at the Discussion.",https://www.youtube.com/watch?v=2cYgqd4s6S0
3,Real Estate,The Future of Sustainable Real Estate,,12th,English/Hindi,Module 1: Introduction to Sustainable Real Estate,"Could you explain the concept of World Trade Centre- Ms Khair Ull Nissa Shah, Founder Vice President",https://www.youtube.com/watch?v=zJnpX-UBct0
4,Real Estate,The Future of Sustainable Real Estate,,12th,English/Hindi,Module 1: Introduction to Sustainable Real Estate,"Ms.Tara Subramaniam, Founder President thanking Dr.Niranjan Hiranandani and Mr.Rajan Bandelkar",https://www.youtube.com/watch?v=nao5LQLhlAY
5,Real Estate,The Future of Sustainable Real Estate,,12th,English/Hindi,Module 2: Sustainability Aspects of WTC Gibraltar,What is the Chain of Sustainability aspects Factored in WTC Gibraltar? - Ms Khair Ull Nissa Shah,https://www.youtube.com/watch?v=KEKcnluC1k8
6,Real Estate,The Future of Sustainable Real Estate,,12th,English/Hindi,Module 2: Sustainability Aspects of WTC Gibraltar,What does the term Sustainability signify in the context of WTC Real Estate?- Ms Khair UllNissa Shah,https://www.youtube.com/watch?v=mo_x_Bm-t_I
7,Real Estate,The Future of Sustainable Real Estate,,12th,English/Hindi,Module 2: Sustainability Aspects of WTC Gibraltar,"""The Sustainability"" Is it being driven by the Govt. or by the Developer? - Ms. Khair ull Nissa Shah",https://www.youtube.com/watch?v=mr0iFTCwZQw
8,Real Estate,The Future of Sustainable Real Estate,,12th,English/Hindi,Module 3: Mitigating Risks and Enhancing Value,Are we mitigating risks and increasing value & Performance of Real Estate?- Ms. Khair Ull Nissa Shah,https://www.youtube.com/watch?v=V4_l_4HkmZQ
9,Real Estate,The Future of Sustainable Real Estate,,12th,English/Hindi,Module 3: Mitigating Risks and Enhancing Value,Where does World Trade Center in these 15 mins. cities Stand and How they encourage Sustainability?,https://www.youtube.com/watch?v=9DzBoSCwDE4
10,Real Estate,The Future of Sustainable Real Estate,,12th,English/Hindi,Module 3: Mitigating Risks and Enhancing Value,What are the Elements to be addressing to other sustainable Developments? - Ms. Khair Ull Nissa Shah,https://www.youtube.com/watch?v=9YJT__2zLu0
11,Real Estate,The Future of Sustainable Real Estate,,12th,English/Hindi,Module 4: Environmental Wellness Perspective,"Ms. Preeti Singh, Founder Gen. Secretary sharing her perspective on Environmental Wellness",https://www.youtube.com/watch?v=HusgQDLyvlA
12,Real Estate,The Future of Sustainable Real Estate,,12th,English/Hindi,Module 4: Environmental Wellness Perspective,"Dr.  Ananta Singh Raghuvanshi, Founder President Elect thanking Mahi Members",https://www.youtube.com/watch?v=OqWj1syN_Zg
13,Real Estate,The Future of Sustainable Real Estate,,12th,English/Hindi,Module 4: Environmental Wellness Perspective,Do You see that globally there is change because of Pandemic in terms of Sustainability? - Ms. Khair,https://www.youtube.com/watch?v=DPt1y6xpBNY
