S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Renewable Energy,Energy management,16hrs 9min,12th,English/Hindi,Module 1: Energy Scenario and Demand Management,Brief overview of present energy scenario in India and World wide,https://www.youtube.com/watch?v=e3c0wJwYYVk
2,Renewable Energy,Energy management,,12th,English/Hindi,Module 1: Energy Scenario and Demand Management,Brief Overview Of Energy Scenario PART-2,https://www.youtube.com/watch?v=38PyaJc5tdo
3,Renewable Energy,Energy management,,12th,English/Hindi,Module 1: Energy Scenario and Demand Management,Brief overview of energy scenario part-3,https://www.youtube.com/watch?v=spLJnVJOEJE
4,Renewable Energy,Energy management,,12th,English/Hindi,Module 1: Energy Scenario and Demand Management,Class 11 Geography Chapter 4 | Global Warming - Climate,https://www.youtube.com/watch?v=vNIjGFbsAq8
5,Renewable Energy,Energy management,,12th,English/Hindi,Module 2: Transmission & Distribution Losses and Environmental Impact,Demand side management,https://www.youtube.com/watch?v=5R6IN1cnAc0
6,Renewable Energy,Energy management,,12th,English/Hindi,Module 2: Transmission & Distribution Losses and Environmental Impact,Transmission and distribution losses || Technical losses | Fixed technical losses|,https://www.youtube.com/watch?v=wISVesC7GQ8
7,Renewable Energy,Energy management,,12th,English/Hindi,Module 2: Transmission & Distribution Losses and Environmental Impact,Transmission and distribution losses | Non technical losses,https://www.youtube.com/watch?v=xWS1s_BEtMU
8,Renewable Energy,Energy management,,12th,English/Hindi,Module 3: Power Factor Correction and Energy Audit,Environmental Impact Assessment | Energy Management• EIA • Importance• loopholes| Hindi,https://www.youtube.com/watch?v=6p3mf6216jM
9,Renewable Energy,Energy management,,12th,English/Hindi,Module 3: Power Factor Correction and Energy Audit,Power factor correction|Reactive power Compensation|Effects of low power factor|Static VAr Compen.,https://www.youtube.com/watch?v=gtxTp0r3YCs
10,Renewable Energy,Energy management,,12th,English/Hindi,Module 3: Power Factor Correction and Energy Audit,Energy audit|Need of audit|Preliminary & Detailed|10 step methodology of detailed energy audit|Hindi,https://www.youtube.com/watch?v=pQ3bGDdV3Dg
11,Renewable Energy,Energy management,,12th,English/Hindi,Module 4: Energy Audit Tools and Techniques,Energy Audit Measuring Instruments,https://www.youtube.com/watch?v=UhDwrM9f_zk
12,Renewable Energy,Energy management,,12th,English/Hindi,Module 4: Energy Audit Tools and Techniques,ENERGY AUDIT QUESTIONNAIRES| ENERGY MANAGEMENT,https://www.youtube.com/watch?v=XfOk9lEwqRI
13,Renewable Energy,Energy management,,12th,English/Hindi,Module 5: Advanced Energy Management,Amorphous Core Transformer| Energy Management,https://www.youtube.com/watch?v=DB2FzWuQ4-k
