S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Renewable Energy,Hydropower Engineering,73hrs 13min,12th,English/Hindi,Module 1: Introduction to Hydropower,"Useful Year Numerical,Type1 -Hydropower Engineering #dipakdahal #engineering",https://www.youtube.com/watch?v=vzUZ-X1gphU
2,Renewable Energy,Hydropower Engineering,,12th,English/Hindi,Module 1: Introduction to Hydropower,"Reservoir Storage Capacity, Type2- Hydropower Engineering #dipakdahal #engineering",https://www.youtube.com/watch?v=V5QnW88ysN8
3,Renewable Energy,Hydropower Engineering,,12th,English/Hindi,Module 1: Introduction to Hydropower,"Firm Energy ,Secondary Energy Numerical Type 1-Hydropower Engineering  #dipakdahal #engineering",https://www.youtube.com/watch?v=ndEFwS_HYjI
4,Renewable Energy,Hydropower Engineering,,12th,English/Hindi,Module 1: Introduction to Hydropower,"Optimum Design, Firm, Secondary Energy Numerical Type 2-Hydropower Engineering  #dipakdahal",https://www.youtube.com/watch?v=HNXtR8-L6UM
5,Renewable Energy,Hydropower Engineering,,12th,English/Hindi,Module 2: Hydropower Project Planning & Resource Assessment,Pondage Requirement Type3- Hydropower Engineering #dipakdahal #engineering,https://www.youtube.com/watch?v=qDp0cinS8us
6,Renewable Energy,Hydropower Engineering,,12th,English/Hindi,Module 2: Hydropower Project Planning & Resource Assessment,"Firm Energy ,Secondary Energy Numerical Type 4-Hydropower Engineering  #dipakdahal #engineering",https://www.youtube.com/watch?v=zrwhyfY6Ujw
7,Renewable Energy,Hydropower Engineering,,12th,English/Hindi,Module 2: Hydropower Project Planning & Resource Assessment,Gravity Dam Numerical - Hydropower Engineering #dipakdahal #engineering,https://www.youtube.com/watch?v=rHFiBuSUsCI
8,Renewable Energy,Hydropower Engineering,,12th,English/Hindi,Module 2: Hydropower Project Planning & Resource Assessment,Earthen Embankment Dam Numerical Type 1 - Hydropower Engineering #dipakdahal #engineering,https://www.youtube.com/watch?v=tz1b_SeDfRI
9,Renewable Energy,Hydropower Engineering,,12th,English/Hindi,Module 3: Hydropower Structures,Earthen Embankment Dam Numerical Type 2 - Hydropower Engineering #dipakdahal #engineering,https://www.youtube.com/watch?v=lXEAT3tBLYc
10,Renewable Energy,Hydropower Engineering,,12th,English/Hindi,Module 3: Hydropower Structures,All types Settling Basin Numerical- Hydropower Engineering #dipakdahal #engineering,https://www.youtube.com/watch?v=7DCfD-Ku_bI
11,Renewable Energy,Hydropower Engineering,,12th,English/Hindi,Module 3: Hydropower Structures,Forebay Design Numerical - Hydropower Engineering #dipakdahal #engineering,https://www.youtube.com/watch?v=hj8t1mGZMMY
12,Renewable Energy,Hydropower Engineering,,12th,English/Hindi,Module 3: Hydropower Structures,Surge Tank Numerical -Hydropower Engineering #dipakdahal #engineering,https://www.youtube.com/watch?v=7OUC6BBbQWo
13,Renewable Energy,Hydropower Engineering,,12th,English/Hindi,Module 4: Hydropower Hydraulics and Design,Penstock Pipe Numerical -Hydropower Engineering #dipakdahal #engineering,https://www.youtube.com/watch?v=8IGuCHcwQJc
14,Renewable Energy,Hydropower Engineering,,12th,English/Hindi,Module 4: Hydropower Hydraulics and Design,Stilling basin Numerical -Hydropower Engineering #dipakdahal #engineering,https://www.youtube.com/watch?v=Lt_7IWSwj6U
15,Renewable Energy,Hydropower Engineering,,12th,English/Hindi,Module 4: Hydropower Hydraulics and Design,Pelton turbine Numerical -Hydropower Engineering #dipakdahal #engineering,https://www.youtube.com/watch?v=5G_-dktJQcY
