S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Renewable Energy,"Renewable Energy Engineering: Solar, Wind and Biomass Energy Systems",34hrs 12min,12th,English/Hindi,Module 1: Introduction to Renewable Energy,"Renewable Energy Engineering: Solar, Wind and Biomass Energy Systems [Intro Video]",https://www.youtube.com/watch?v=mh51mAUexK4
2,Renewable Energy,"Renewable Energy Engineering: Solar, Wind and Biomass Energy Systems",,12th,English/Hindi,Module 1: Introduction to Renewable Energy,Lec 1 : Solar Energy: An overview of thermal applications,https://www.youtube.com/watch?v=iZyzvDj6Y3c
3,Renewable Energy,"Renewable Energy Engineering: Solar, Wind and Biomass Energy Systems",,12th,English/Hindi,Module 1: Introduction to Renewable Energy,Lec 2 : Solar radiation,https://www.youtube.com/watch?v=Og4LEc7SpdQ
4,Renewable Energy,"Renewable Energy Engineering: Solar, Wind and Biomass Energy Systems",,12th,English/Hindi,Module 1: Introduction to Renewable Energy,Lec 3 : Practice problems: Part I,https://www.youtube.com/watch?v=_wPTKzD0LyQ
5,Renewable Energy,"Renewable Energy Engineering: Solar, Wind and Biomass Energy Systems",,12th,English/Hindi,Module 2: Solar Energy Basics,Lec 4 : Practice problems: Part II,https://www.youtube.com/watch?v=5ek1fJfskfA
6,Renewable Energy,"Renewable Energy Engineering: Solar, Wind and Biomass Energy Systems",,12th,English/Hindi,Module 2: Solar Energy Basics,Lec 5 : Non-concentrating solar collectors: Part I,https://www.youtube.com/watch?v=__co3m8nVUg
7,Renewable Energy,"Renewable Energy Engineering: Solar, Wind and Biomass Energy Systems",,12th,English/Hindi,Module 2: Solar Energy Basics,Lec 6 : Non-concentrating solar collectors: Part II,https://www.youtube.com/watch?v=ZOhqMMPqeus
8,Renewable Energy,"Renewable Energy Engineering: Solar, Wind and Biomass Energy Systems",,12th,English/Hindi,Module 2: Solar Energy Basics,Lec 7 : Non-concentrating solar collectors: Part III,https://www.youtube.com/watch?v=3Zes7nJfDSQ
9,Renewable Energy,"Renewable Energy Engineering: Solar, Wind and Biomass Energy Systems",,12th,English/Hindi,Module 2: Solar Energy Basics,Lec 8 : Practice problems: Part I,https://www.youtube.com/watch?v=M8kZ_v8txJo
10,Renewable Energy,"Renewable Energy Engineering: Solar, Wind and Biomass Energy Systems",,12th,English/Hindi,Module 2: Solar Energy Basics,Lec 9 : Practice problems: Part II,https://www.youtube.com/watch?v=Za6vYpt6Z90
11,Renewable Energy,"Renewable Energy Engineering: Solar, Wind and Biomass Energy Systems",,12th,English/Hindi,Module 3: Solar Thermal Applications,Lec 10 : Practice problems: Part III,https://www.youtube.com/watch?v=6ZWEMnWGeIA
12,Renewable Energy,"Renewable Energy Engineering: Solar, Wind and Biomass Energy Systems",,12th,English/Hindi,Module 3: Solar Thermal Applications,Lec 11 : Parabolic solar collectors,https://www.youtube.com/watch?v=pMVVj_HKBAw
13,Renewable Energy,"Renewable Energy Engineering: Solar, Wind and Biomass Energy Systems",,12th,English/Hindi,Module 3: Solar Thermal Applications,Lec 12 : Practice problems,https://www.youtube.com/watch?v=crt6RZFYSdw
14,Renewable Energy,"Renewable Energy Engineering: Solar, Wind and Biomass Energy Systems",,12th,English/Hindi,Module 3: Solar Thermal Applications,Lec 13 : Thermal energy storage systems: Part I,https://www.youtube.com/watch?v=0FSEKHc-COA
15,Renewable Energy,"Renewable Energy Engineering: Solar, Wind and Biomass Energy Systems",,12th,English/Hindi,Module 3: Solar Thermal Applications,Lec 14 : Thermal energy storage systems: Part II,https://www.youtube.com/watch?v=QKsiZmGXi_U
16,Renewable Energy,"Renewable Energy Engineering: Solar, Wind and Biomass Energy Systems",,12th,English/Hindi,Module 4: Solar Collectors,Lec 15 : Solar energy utilization methods,https://www.youtube.com/watch?v=UHOZeiKgGAk
17,Renewable Energy,"Renewable Energy Engineering: Solar, Wind and Biomass Energy Systems",,12th,English/Hindi,Module 4: Solar Collectors,Lec 16 : Classification of energy resources,https://www.youtube.com/watch?v=aHjGcKP_7qE
18,Renewable Energy,"Renewable Energy Engineering: Solar, Wind and Biomass Energy Systems",,12th,English/Hindi,Module 4: Solar Collectors,Lec 17 : Broad classification and compositional analysis,https://www.youtube.com/watch?v=xEVmMKVzl4A
19,Renewable Energy,"Renewable Energy Engineering: Solar, Wind and Biomass Energy Systems",,12th,English/Hindi,Module 4: Solar Collectors,Lec 18 : Characteristics and properties of biomass,https://www.youtube.com/watch?v=L3AEXdvtIkk
20,Renewable Energy,"Renewable Energy Engineering: Solar, Wind and Biomass Energy Systems",,12th,English/Hindi,Module 4: Solar Collectors,Lec 19 : Properties and structural components of biomass,https://www.youtube.com/watch?v=QFZG6pVj2l4
21,Renewable Energy,"Renewable Energy Engineering: Solar, Wind and Biomass Energy Systems",,12th,English/Hindi,Module 4: Solar Collectors,Lec 20 : Biomass residues and energy conversion routes,https://www.youtube.com/watch?v=J9S6MgfSRBs
22,Renewable Energy,"Renewable Energy Engineering: Solar, Wind and Biomass Energy Systems",,12th,English/Hindi,Module 5: Concentrating Solar Collectors,Lec 21 : Utilisation of biomass through bio-chemical and thermo-chemical routes,https://www.youtube.com/watch?v=-sVrjO25xPo
23,Renewable Energy,"Renewable Energy Engineering: Solar, Wind and Biomass Energy Systems",,12th,English/Hindi,Module 5: Concentrating Solar Collectors,Lec 22 : Conversion mechanism of biomass to biogas and its properties,https://www.youtube.com/watch?v=_iks62SfMo0
24,Renewable Energy,"Renewable Energy Engineering: Solar, Wind and Biomass Energy Systems",,12th,English/Hindi,Module 5: Concentrating Solar Collectors,Lec 23 : Classification of biogas plants,https://www.youtube.com/watch?v=TUu40kDqcEc
25,Renewable Energy,"Renewable Energy Engineering: Solar, Wind and Biomass Energy Systems",,12th,English/Hindi,Module 6: Solar Energy Storage and Utilization,Lec 24 : Practice problems - I,https://www.youtube.com/watch?v=mAhibulncW4
26,Renewable Energy,"Renewable Energy Engineering: Solar, Wind and Biomass Energy Systems",,12th,English/Hindi,Module 6: Solar Energy Storage and Utilization,Lec 25 : Practice problems - II,https://www.youtube.com/watch?v=3hGkQEFhiOg
27,Renewable Energy,"Renewable Energy Engineering: Solar, Wind and Biomass Energy Systems",,12th,English/Hindi,Module 6: Solar Energy Storage and Utilization,Lec 26 : Practice problems - III,https://www.youtube.com/watch?v=W4DTOKHuqGg
28,Renewable Energy,"Renewable Energy Engineering: Solar, Wind and Biomass Energy Systems",,12th,English/Hindi,Module 7: Introduction to Biomass Energy,Lec 27 : Bioconversion of substrates into alcohol,https://www.youtube.com/watch?v=3y6qsrCkrSw
29,Renewable Energy,"Renewable Energy Engineering: Solar, Wind and Biomass Energy Systems",,12th,English/Hindi,Module 7: Introduction to Biomass Energy,"Lec 28 : Thermo-chemical conversion, torrefaction and combustion processes",https://www.youtube.com/watch?v=_p6g2D-5a-Y
30,Renewable Energy,"Renewable Energy Engineering: Solar, Wind and Biomass Energy Systems",,12th,English/Hindi,Module 7: Introduction to Biomass Energy,"Lec 29 : Thermo-chemical conversion of biomass to solid, liquid and gaseous fuels",https://www.youtube.com/watch?v=VZiWkMWMQ10
31,Renewable Energy,"Renewable Energy Engineering: Solar, Wind and Biomass Energy Systems",,12th,English/Hindi,Module 7: Introduction to Biomass Energy,Lec 30: Gasification process,https://www.youtube.com/watch?v=HIpuYfp9lgk
32,Renewable Energy,"Renewable Energy Engineering: Solar, Wind and Biomass Energy Systems",,12th,English/Hindi,Module 7: Introduction to Biomass Energy,"Lec 31 : Thermo-chemical conversion processes: pyrolysis, liquefaction and conversion processes",https://www.youtube.com/watch?v=j1Zq9iMhn7A
33,Renewable Energy,"Renewable Energy Engineering: Solar, Wind and Biomass Energy Systems",,12th,English/Hindi,Module 8: Biomass Conversion Pathways,Lec 32 : Practice problems - I,https://www.youtube.com/watch?v=EBsqgt4B5Y8
34,Renewable Energy,"Renewable Energy Engineering: Solar, Wind and Biomass Energy Systems",,12th,English/Hindi,Module 8: Biomass Conversion Pathways,Lec 33 : Practice problems - II,https://www.youtube.com/watch?v=5zHjmvWy9_w
35,Renewable Energy,"Renewable Energy Engineering: Solar, Wind and Biomass Energy Systems",,12th,English/Hindi,Module 8: Biomass Conversion Pathways,"Lec 34 : Turbine terms, types and theories: Part I",https://www.youtube.com/watch?v=z7HV-ixAjs4
36,Renewable Energy,"Renewable Energy Engineering: Solar, Wind and Biomass Energy Systems",,12th,English/Hindi,Module 9: Biogas Production,"Lec 35 : Turbine terms, types and theories: Part II",https://www.youtube.com/watch?v=fOhQWeVT0cI
37,Renewable Energy,"Renewable Energy Engineering: Solar, Wind and Biomass Energy Systems",,12th,English/Hindi,Module 9: Biogas Production,Lec 36: Characteristics and Power Generation from Wind Energy: Part I,https://www.youtube.com/watch?v=k7LX0a67V8A
38,Renewable Energy,"Renewable Energy Engineering: Solar, Wind and Biomass Energy Systems",,12th,English/Hindi,Module 9: Biogas Production,Lec 37: Characteristics and Power Generation from Wind Energy: Part II,https://www.youtube.com/watch?v=JK-EX4LnrA4
39,Renewable Energy,"Renewable Energy Engineering: Solar, Wind and Biomass Energy Systems",,12th,English/Hindi,Module 9: Biogas Production,Lec 38: Practice problems,https://www.youtube.com/watch?v=AuGoKmDGR30
40,Renewable Energy,"Renewable Energy Engineering: Solar, Wind and Biomass Energy Systems",34hrs 12min,12th,English/Hindi,Module 10: Biogas Applications and Challenges,"Renewable Energy Engineering: Solar, Wind and Biomass Energy Systems [Intro Video]",https://www.youtube.com/watch?v=mh51mAUexK4
41,Renewable Energy,"Renewable Energy Engineering: Solar, Wind and Biomass Energy Systems",,12th,English/Hindi,Module 10: Biogas Applications and Challenges,Lec 1 : Solar Energy: An overview of thermal applications,https://www.youtube.com/watch?v=iZyzvDj6Y3c
42,Renewable Energy,"Renewable Energy Engineering: Solar, Wind and Biomass Energy Systems",,12th,English/Hindi,Module 10: Biogas Applications and Challenges,Lec 2 : Solar radiation,https://www.youtube.com/watch?v=Og4LEc7SpdQ
43,Renewable Energy,"Renewable Energy Engineering: Solar, Wind and Biomass Energy Systems",,12th,English/Hindi,Module 11: Thermochemical Conversion of Biomass,Lec 3 : Practice problems: Part I,https://www.youtube.com/watch?v=_wPTKzD0LyQ
44,Renewable Energy,"Renewable Energy Engineering: Solar, Wind and Biomass Energy Systems",,12th,English/Hindi,Module 11: Thermochemical Conversion of Biomass,Lec 4 : Practice problems: Part II,https://www.youtube.com/watch?v=5ek1fJfskfA
45,Renewable Energy,"Renewable Energy Engineering: Solar, Wind and Biomass Energy Systems",,12th,English/Hindi,Module 11: Thermochemical Conversion of Biomass,Lec 5 : Non-concentrating solar collectors: Part I,https://www.youtube.com/watch?v=__co3m8nVUg
46,Renewable Energy,"Renewable Energy Engineering: Solar, Wind and Biomass Energy Systems",,12th,English/Hindi,Module 11: Thermochemical Conversion of Biomass,Lec 6 : Non-concentrating solar collectors: Part II,https://www.youtube.com/watch?v=ZOhqMMPqeus
47,Renewable Energy,"Renewable Energy Engineering: Solar, Wind and Biomass Energy Systems",,12th,English/Hindi,Module 12: Combustion and Gasification,Lec 7 : Non-concentrating solar collectors: Part III,https://www.youtube.com/watch?v=3Zes7nJfDSQ
48,Renewable Energy,"Renewable Energy Engineering: Solar, Wind and Biomass Energy Systems",,12th,English/Hindi,Module 12: Combustion and Gasification,Lec 8 : Practice problems: Part I,https://www.youtube.com/watch?v=M8kZ_v8txJo
49,Renewable Energy,"Renewable Energy Engineering: Solar, Wind and Biomass Energy Systems",,12th,English/Hindi,Module 12: Combustion and Gasification,Lec 9 : Practice problems: Part II,https://www.youtube.com/watch?v=Za6vYpt6Z90
50,Renewable Energy,"Renewable Energy Engineering: Solar, Wind and Biomass Energy Systems",,12th,English/Hindi,Module 13: Pyrolysis and Liquefaction,Lec 10 : Practice problems: Part III,https://www.youtube.com/watch?v=6ZWEMnWGeIA
51,Renewable Energy,"Renewable Energy Engineering: Solar, Wind and Biomass Energy Systems",,12th,English/Hindi,Module 13: Pyrolysis and Liquefaction,Lec 11 : Parabolic solar collectors,https://www.youtube.com/watch?v=pMVVj_HKBAw
52,Renewable Energy,"Renewable Energy Engineering: Solar, Wind and Biomass Energy Systems",,12th,English/Hindi,Module 13: Pyrolysis and Liquefaction,Lec 12 : Practice problems,https://www.youtube.com/watch?v=crt6RZFYSdw
53,Renewable Energy,"Renewable Energy Engineering: Solar, Wind and Biomass Energy Systems",,12th,English/Hindi,Module 14: Introduction to Wind Energy,Lec 13 : Thermal energy storage systems: Part I,https://www.youtube.com/watch?v=0FSEKHc-COA
54,Renewable Energy,"Renewable Energy Engineering: Solar, Wind and Biomass Energy Systems",,12th,English/Hindi,Module 14: Introduction to Wind Energy,Lec 14 : Thermal energy storage systems: Part II,https://www.youtube.com/watch?v=QKsiZmGXi_U
55,Renewable Energy,"Renewable Energy Engineering: Solar, Wind and Biomass Energy Systems",,12th,English/Hindi,Module 14: Introduction to Wind Energy,Lec 15 : Solar energy utilization methods,https://www.youtube.com/watch?v=UHOZeiKgGAk
56,Renewable Energy,"Renewable Energy Engineering: Solar, Wind and Biomass Energy Systems",,12th,English/Hindi,Module 15: Wind Turbine Technology,Lec 16 : Classification of energy resources,https://www.youtube.com/watch?v=aHjGcKP_7qE
57,Renewable Energy,"Renewable Energy Engineering: Solar, Wind and Biomass Energy Systems",,12th,English/Hindi,Module 15: Wind Turbine Technology,Lec 17 : Broad classification and compositional analysis,https://www.youtube.com/watch?v=xEVmMKVzl4A
58,Renewable Energy,"Renewable Energy Engineering: Solar, Wind and Biomass Energy Systems",,12th,English/Hindi,Module 15: Wind Turbine Technology,Lec 18 : Characteristics and properties of biomass,https://www.youtube.com/watch?v=L3AEXdvtIkk
59,Renewable Energy,"Renewable Energy Engineering: Solar, Wind and Biomass Energy Systems",,12th,English/Hindi,Module 16: Wind Energy Assessment,Lec 19 : Properties and structural components of biomass,https://www.youtube.com/watch?v=QFZG6pVj2l4
60,Renewable Energy,"Renewable Energy Engineering: Solar, Wind and Biomass Energy Systems",,12th,English/Hindi,Module 16: Wind Energy Assessment,Lec 20 : Biomass residues and energy conversion routes,https://www.youtube.com/watch?v=J9S6MgfSRBs
61,Renewable Energy,"Renewable Energy Engineering: Solar, Wind and Biomass Energy Systems",,12th,English/Hindi,Module 16: Wind Energy Assessment,Lec 21 : Utilisation of biomass through bio-chemical and thermo-chemical routes,https://www.youtube.com/watch?v=-sVrjO25xPo
62,Renewable Energy,"Renewable Energy Engineering: Solar, Wind and Biomass Energy Systems",,12th,English/Hindi,Module 17: Wind Farm Development,Lec 22 : Conversion mechanism of biomass to biogas and its properties,https://www.youtube.com/watch?v=_iks62SfMo0
63,Renewable Energy,"Renewable Energy Engineering: Solar, Wind and Biomass Energy Systems",,12th,English/Hindi,Module 17: Wind Farm Development,Lec 23 : Classification of biogas plants,https://www.youtube.com/watch?v=TUu40kDqcEc
64,Renewable Energy,"Renewable Energy Engineering: Solar, Wind and Biomass Energy Systems",,12th,English/Hindi,Module 17: Wind Farm Development,Lec 24 : Practice problems - I,https://www.youtube.com/watch?v=mAhibulncW4
65,Renewable Energy,"Renewable Energy Engineering: Solar, Wind and Biomass Energy Systems",,12th,English/Hindi,Module 18: Wind Energy Integration,Lec 25 : Practice problems - II,https://www.youtube.com/watch?v=3hGkQEFhiOg
66,Renewable Energy,"Renewable Energy Engineering: Solar, Wind and Biomass Energy Systems",,12th,English/Hindi,Module 18: Wind Energy Integration,Lec 26 : Practice problems - III,https://www.youtube.com/watch?v=W4DTOKHuqGg
67,Renewable Energy,"Renewable Energy Engineering: Solar, Wind and Biomass Energy Systems",,12th,English/Hindi,Module 18: Wind Energy Integration,Lec 27 : Bioconversion of substrates into alcohol,https://www.youtube.com/watch?v=3y6qsrCkrSw
68,Renewable Energy,"Renewable Energy Engineering: Solar, Wind and Biomass Energy Systems",,12th,English/Hindi,Module 19: Case Studies in Renewable Energy,"Lec 28 : Thermo-chemical conversion, torrefaction and combustion processes",https://www.youtube.com/watch?v=_p6g2D-5a-Y
69,Renewable Energy,"Renewable Energy Engineering: Solar, Wind and Biomass Energy Systems",,12th,English/Hindi,Module 19: Case Studies in Renewable Energy,"Lec 29 : Thermo-chemical conversion of biomass to solid, liquid and gaseous fuels",https://www.youtube.com/watch?v=VZiWkMWMQ10
70,Renewable Energy,"Renewable Energy Engineering: Solar, Wind and Biomass Energy Systems",,12th,English/Hindi,Module 19: Case Studies in Renewable Energy,Lec 30: Gasification process,https://www.youtube.com/watch?v=HIpuYfp9lgk
71,Renewable Energy,"Renewable Energy Engineering: Solar, Wind and Biomass Energy Systems",,12th,English/Hindi,Module 20: Renewable Energy Policy and Economics,"Lec 31 : Thermo-chemical conversion processes: pyrolysis, liquefaction and conversion processes",https://www.youtube.com/watch?v=j1Zq9iMhn7A
72,Renewable Energy,"Renewable Energy Engineering: Solar, Wind and Biomass Energy Systems",,12th,English/Hindi,Module 20: Renewable Energy Policy and Economics,Lec 32 : Practice problems - I,https://www.youtube.com/watch?v=EBsqgt4B5Y8
73,Renewable Energy,"Renewable Energy Engineering: Solar, Wind and Biomass Energy Systems",,12th,English/Hindi,Module 20: Renewable Energy Policy and Economics,Lec 33 : Practice problems - II,https://www.youtube.com/watch?v=5zHjmvWy9_w
