S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Renewable Energy,Renewable Energy,31hrs 16min,12th,English/Hindi,Module 1: Introduction to Renewable Energy,L-1|Introduction|Renewable Energy|Renewable sources of Energy for ESE|UPSC|ESE previous Years|UPPSC,https://www.youtube.com/watch?v=roxuawcqzCA
2,Renewable Energy,Renewable Energy,,12th,English/Hindi,Module 1: Introduction to Renewable Energy,L-2|Solar Energy|Renewable Energy for ESE|Basics of Solar Energy|UPSC|ESE|ESE 2021,https://www.youtube.com/watch?v=y90S2OqfjEQ
3,Renewable Energy,Renewable Energy,,12th,English/Hindi,Module 1: Introduction to Renewable Energy,L-3|Solar Angles|Latitude|Longitudes|Meridian|Hour Angle|Inclination|Zenith|Solar Constant|ESE|UPSC,https://www.youtube.com/watch?v=MhpwL3pn1oo
4,Renewable Energy,Renewable Energy,,12th,English/Hindi,Module 1: Introduction to Renewable Energy,L-4|Solar Thermal Energy Collector| Absorber Plate|Coating|Binder|Riser Tube|Solar Collector parts,https://www.youtube.com/watch?v=J4sWD0vOMTs
5,Renewable Energy,Renewable Energy,,12th,English/Hindi,Module 2: Basics of Solar Energy,L-5|Solar Collector|Types Of Sollar Collector|Focusing type|Non Focusing Type|Flat Plate Collector,https://www.youtube.com/watch?v=zeH01GJxalI
6,Renewable Energy,Renewable Energy,,12th,English/Hindi,Module 2: Basics of Solar Energy,L-6|Materials of solar Collector Elements|Elbido|Air Mass Flow|Tilt Factor|Evacuated tube collector,https://www.youtube.com/watch?v=tcgtITLnzs8
7,Renewable Energy,Renewable Energy,,12th,English/Hindi,Module 2: Basics of Solar Energy,L-7|Solar Tracker|Solar Radiation Measuring Devices|Fresnel Lens|Heat Pipe|Heliostat|Selectivity,https://www.youtube.com/watch?v=LX4f27TfEIo
8,Renewable Energy,Renewable Energy,,12th,English/Hindi,Module 3: Understanding Solar Angles,L-8|Solar Thermal Energy Collection|Sensible Heat Storage|Latent Heat storage|Thermo chemical Energy,https://www.youtube.com/watch?v=pzzgRbw8wj4
9,Renewable Energy,Renewable Energy,,12th,English/Hindi,Module 3: Understanding Solar Angles,L-9|Solar Cell|Solar panel|Fill Factor|Renewable Energy for ESE|Solar Module|Solar Cell Working|ESE,https://www.youtube.com/watch?v=I5qY9G8aWTA
10,Renewable Energy,Renewable Energy,,12th,English/Hindi,Module 3: Understanding Solar Angles,Lec-10|Wind Energy|ESE|Types |Yaw Control|TSR|Limitations|Turbine Blade|Nacelle|cutoff speed,https://www.youtube.com/watch?v=o2StwP4-AmA
11,Renewable Energy,Renewable Energy,,12th,English/Hindi,Module 3: Understanding Solar Angles,Lec-11|Biomass Energy|Bio mass|Extraction Method|Limitations of Various Methods|Fuel Combustion|ESE,https://www.youtube.com/watch?v=5cQD_xZph9U
12,Renewable Energy,Renewable Energy,,12th,English/Hindi,Module 4: Solar Thermal Energy Collector,L-12|Fuel Cell|Types of Fuel Cell|Tidal Energy|MHD|Magneto Hydro Dynamics|Principle|Working|Tide|ESE,https://www.youtube.com/watch?v=ypA2c4b6qfo
13,Renewable Energy,Renewable Energy,31hrs 16min,12th,English/Hindi,Module 4: Solar Thermal Energy Collector,L-1|Introduction|Renewable Energy|Renewable sources of Energy for ESE|UPSC|ESE previous Years|UPPSC,https://www.youtube.com/watch?v=roxuawcqzCA
14,Renewable Energy,Renewable Energy,,12th,English/Hindi,Module 4: Solar Thermal Energy Collector,L-2|Solar Energy|Renewable Energy for ESE|Basics of Solar Energy|UPSC|ESE|ESE 2021,https://www.youtube.com/watch?v=y90S2OqfjEQ
15,Renewable Energy,Renewable Energy,,12th,English/Hindi,Module 5: Types of Solar Collectors,L-3|Solar Angles|Latitude|Longitudes|Meridian|Hour Angle|Inclination|Zenith|Solar Constant|ESE|UPSC,https://www.youtube.com/watch?v=MhpwL3pn1oo
16,Renewable Energy,Renewable Energy,,12th,English/Hindi,Module 5: Types of Solar Collectors,L-4|Solar Thermal Energy Collector| Absorber Plate|Coating|Binder|Riser Tube|Solar Collector parts,https://www.youtube.com/watch?v=J4sWD0vOMTs
17,Renewable Energy,Renewable Energy,,12th,English/Hindi,Module 5: Types of Solar Collectors,L-5|Solar Collector|Types Of Sollar Collector|Focusing type|Non Focusing Type|Flat Plate Collector,https://www.youtube.com/watch?v=zeH01GJxalI
18,Renewable Energy,Renewable Energy,,12th,English/Hindi,Module 6: Materials of Solar Collector Elements,L-6|Materials of solar Collector Elements|Elbido|Air Mass Flow|Tilt Factor|Evacuated tube collector,https://www.youtube.com/watch?v=tcgtITLnzs8
19,Renewable Energy,Renewable Energy,,12th,English/Hindi,Module 6: Materials of Solar Collector Elements,L-7|Solar Tracker|Solar Radiation Measuring Devices|Fresnel Lens|Heat Pipe|Heliostat|Selectivity,https://www.youtube.com/watch?v=LX4f27TfEIo
20,Renewable Energy,Renewable Energy,,12th,English/Hindi,Module 6: Materials of Solar Collector Elements,L-8|Solar Thermal Energy Collection|Sensible Heat Storage|Latent Heat storage|Thermo chemical Energy,https://www.youtube.com/watch?v=pzzgRbw8wj4
21,Renewable Energy,Renewable Energy,,12th,English/Hindi,Module 7: Solar Tracker Technology,L-9|Solar Cell|Solar panel|Fill Factor|Renewable Energy for ESE|Solar Module|Solar Cell Working|ESE,https://www.youtube.com/watch?v=I5qY9G8aWTA
22,Renewable Energy,Renewable Energy,,12th,English/Hindi,Module 7: Solar Tracker Technology,Lec-10|Wind Energy|ESE|Types |Yaw Control|TSR|Limitations|Turbine Blade|Nacelle|cutoff speed,https://www.youtube.com/watch?v=o2StwP4-AmA
23,Renewable Energy,Renewable Energy,,12th,English/Hindi,Module 7: Solar Tracker Technology,Lec-11|Biomass Energy|Bio mass|Extraction Method|Limitations of Various Methods|Fuel Combustion|ESE,https://www.youtube.com/watch?v=5cQD_xZph9U
