S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Urban Planning,Fall 2019: Urban Policy Analysis,184hrs 1min,12th,English/Hindi,Module 1: Intro to Urban Policy Analysis,Urban Policy Analysis (10/2/19),https://www.youtube.com/watch?v=IQN6L2nGSYY
2,Urban Planning,Fall 2019: Urban Policy Analysis,,12th,English/Hindi,Module 1: Intro to Urban Policy Analysis,Urban Policy Analysis (10/7/19),https://www.youtube.com/watch?v=De2LahbX2Sw
3,Urban Planning,Fall 2019: Urban Policy Analysis,,12th,English/Hindi,Module 1: Intro to Urban Policy Analysis,Urban Policy Analysis (10/9/19),https://www.youtube.com/watch?v=5kwMdZltSG0
4,Urban Planning,Fall 2019: Urban Policy Analysis,,12th,English/Hindi,Module 2: Housing Policy,Urban Policy Analysis (10/14/19),https://www.youtube.com/watch?v=Lkeph3Iq_r0
5,Urban Planning,Fall 2019: Urban Policy Analysis,,12th,English/Hindi,Module 2: Housing Policy,Urban Policy Analysis (10/16/19),https://www.youtube.com/watch?v=8KX8iKEQGoQ
6,Urban Planning,Fall 2019: Urban Policy Analysis,,12th,English/Hindi,Module 2: Housing Policy,Urban Policy Analysis (10-21-19),https://www.youtube.com/watch?v=4IJMYGXeYhI
7,Urban Planning,Fall 2019: Urban Policy Analysis,,12th,English/Hindi,Module 3: Transportation Policy,Urban Policy Analysis (10/23/19),https://www.youtube.com/watch?v=xDVharxQVXc
8,Urban Planning,Fall 2019: Urban Policy Analysis,,12th,English/Hindi,Module 3: Transportation Policy,Urban Policy Analysis (10-30-19),https://www.youtube.com/watch?v=yLAmQjLL8hE
9,Urban Planning,Fall 2019: Urban Policy Analysis,,12th,English/Hindi,Module 4: Economic Development,Urban Policy Analysis (11/4/19),https://www.youtube.com/watch?v=PSlOXvw7O6M
10,Urban Planning,Fall 2019: Urban Policy Analysis,,12th,English/Hindi,Module 4: Economic Development,Urban Policy Analysis (11/6/19),https://www.youtube.com/watch?v=VebIbCSvTEE
11,Urban Planning,Fall 2019: Urban Policy Analysis,,12th,English/Hindi,Module 5: Environmental Policy,Urban Policy Analysis (11/13/19),https://www.youtube.com/watch?v=4V756PrF6tg
12,Urban Planning,Fall 2019: Urban Policy Analysis,,12th,English/Hindi,Module 5: Environmental Policy,Urban Policy Analysis (11-20-19),https://www.youtube.com/watch?v=X4C96V7lIP8
13,Urban Planning,Fall 2019: Urban Policy Analysis,,12th,English/Hindi,Module 6: Urban Governance,Urban Policy Analysis (11-25-19),https://www.youtube.com/watch?v=vGIz53EJgO8
14,Urban Planning,Fall 2019: Urban Policy Analysis,,12th,English/Hindi,Module 6: Urban Governance,Urban Policy Analysis (12-02-19),https://www.youtube.com/watch?v=s07S6MxXeeM
