S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Urban Planning,GIS Fundamentals: Geographical Information Systems and Urban Planning,10hrs 8min,12th,English/Hindi,Module 1: Introduction to GIS,What is GIS? An introduction to Geographical Information Systems,https://www.youtube.com/watch?v=AGWbKVp0rWc
2,Urban Planning,GIS Fundamentals: Geographical Information Systems and Urban Planning,,12th,English/Hindi,Module 1: Introduction to GIS,GIS Fundamentals: Thematic Maps,https://www.youtube.com/watch?v=nhKd8Fu0y0g
3,Urban Planning,GIS Fundamentals: Geographical Information Systems and Urban Planning,,12th,English/Hindi,Module 1: Introduction to GIS,"GIS Fundamentals: Geocoding, Geoprocessing, and Online Sharing, Address Geocoding with ArcGIS Online",https://www.youtube.com/watch?v=HpslDrBpo38
4,Urban Planning,GIS Fundamentals: Geographical Information Systems and Urban Planning,,12th,English/Hindi,Module 1: Introduction to GIS,CityEngine for Planners 3: Integration and GIS,https://www.youtube.com/watch?v=osHzgs-ufX0
5,Urban Planning,GIS Fundamentals: Geographical Information Systems and Urban Planning,,12th,English/Hindi,Module 2: WebGIS and Walkability Modeling,WebGIS: Not Just For The Experts,https://www.youtube.com/watch?v=CpI8yR-ESAc
6,Urban Planning,GIS Fundamentals: Geographical Information Systems and Urban Planning,,12th,English/Hindi,Module 2: WebGIS and Walkability Modeling,Introduction to GIS: Geographic Information Systems Fundamentals,https://www.youtube.com/watch?v=659CESxEb5U
7,Urban Planning,GIS Fundamentals: Geographical Information Systems and Urban Planning,,12th,English/Hindi,Module 2: WebGIS and Walkability Modeling,GIS Walkability Modeling,https://www.youtube.com/watch?v=9Jfxj6vUMJc
8,Urban Planning,GIS Fundamentals: Geographical Information Systems and Urban Planning,,12th,English/Hindi,Module 3: QGIS for Neighborhood Centers,"GIS Essentials: Importing, Selecting, and Managing Data",https://www.youtube.com/watch?v=QPJgExGcd2o
9,Urban Planning,GIS Fundamentals: Geographical Information Systems and Urban Planning,,12th,English/Hindi,Module 3: QGIS for Neighborhood Centers,Urban Design for Planners: QGIS - Schools or Commercial Areas as Centers,https://www.youtube.com/watch?v=f9uF9HoVkRw
10,Urban Planning,GIS Fundamentals: Geographical Information Systems and Urban Planning,,12th,English/Hindi,Module 3: QGIS for Neighborhood Centers,Urban Design for Planners 3 -  QGIS: Connecting Neighborhood Centers,https://www.youtube.com/watch?v=quMSiU2hRBM
11,Urban Planning,GIS Fundamentals: Geographical Information Systems and Urban Planning,,12th,English/Hindi,Module 3: QGIS for Neighborhood Centers,Urban Design for Planners 2: Neighborhoods and Transects - Creating Buffers in QGIS,https://www.youtube.com/watch?v=v4jkFfDBamQ
12,Urban Planning,GIS Fundamentals: Geographical Information Systems and Urban Planning,,12th,English/Hindi,Module 3: QGIS for Neighborhood Centers,Geoanalysis with ArcGIS and Google Earth,https://www.youtube.com/watch?v=ILaAq19oGaE
