S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Urban Planning,Introduction to Urban Planning,16hrs 7min,12th,English/Hindi,Module 1: Introduction to Urban Planning,Introduction to  Urban Planning,https://www.youtube.com/watch?v=q_XmlG3CwNk
2,Urban Planning,Introduction to Urban Planning,,12th,English/Hindi,Module 1: Introduction to Urban Planning,Lecture 1 : Conceptual Understanding of the Urban Areas,https://www.youtube.com/watch?v=2F0Bdfb1GqY
3,Urban Planning,Introduction to Urban Planning,,12th,English/Hindi,Module 1: Introduction to Urban Planning,Lecture 2 : Urbanization and Sustainable Development,https://www.youtube.com/watch?v=vHop5VgamRc
4,Urban Planning,Introduction to Urban Planning,,12th,English/Hindi,Module 1: Introduction to Urban Planning,Lecture 3 : Urban Planning and 73-74 Constitution Amendment Acts,https://www.youtube.com/watch?v=j_5GldeUpRg
5,Urban Planning,Introduction to Urban Planning,,12th,English/Hindi,Module 2: Urbanization and Sustainable Development,Lecture 4 : Types and Level of Plans,https://www.youtube.com/watch?v=zuM3u0du_5g
6,Urban Planning,Introduction to Urban Planning,,12th,English/Hindi,Module 2: Urbanization and Sustainable Development,Lecture 5 : Regional Plan,https://www.youtube.com/watch?v=K9kst7RAfco
7,Urban Planning,Introduction to Urban Planning,,12th,English/Hindi,Module 2: Urbanization and Sustainable Development,Lecture 6: Regional Plan II,https://www.youtube.com/watch?v=Gkq-is4aLcQ
8,Urban Planning,Introduction to Urban Planning,,12th,English/Hindi,Module 3: Urban Planning Frameworks,Lecture 7: Development Plan I,https://www.youtube.com/watch?v=P4P6bAqq2hk
9,Urban Planning,Introduction to Urban Planning,,12th,English/Hindi,Module 3: Urban Planning Frameworks,Lecture 8: Development Plan II (Case Study- Draft Bhopal Development Plan 2031),https://www.youtube.com/watch?v=XcrSwGqdo_U
10,Urban Planning,Introduction to Urban Planning,,12th,English/Hindi,Module 3: Urban Planning Frameworks,Lecture 9: Zonal Plan,https://www.youtube.com/watch?v=PJ9gNQBfoOA
11,Urban Planning,Introduction to Urban Planning,,12th,English/Hindi,Module 4: Regional and Development Plans,Lecture 10: Town Planning Scheme,https://www.youtube.com/watch?v=i8LhbDJf2WU
12,Urban Planning,Introduction to Urban Planning,,12th,English/Hindi,Module 4: Regional and Development Plans,Lecture 11: Local Area Plan (Urban Redevelopment Plan),https://www.youtube.com/watch?v=xKT8dOhJ0l0
13,Urban Planning,Introduction to Urban Planning,,12th,English/Hindi,Module 4: Regional and Development Plans,Lecture 12: Special Purpose Plan (AMRUT),https://www.youtube.com/watch?v=Wro1z1prkAI
14,Urban Planning,Introduction to Urban Planning,,12th,English/Hindi,Module 5: Zonal Planning and Schemes,Lecture 13: Special Purpose Plan (HRIDAY),https://www.youtube.com/watch?v=THGRzmkyjI4
15,Urban Planning,Introduction to Urban Planning,,12th,English/Hindi,Module 5: Zonal Planning and Schemes,Lecture 14: Special Purpose Plan (Smart City),https://www.youtube.com/watch?v=0j7X1w4OXhA
16,Urban Planning,Introduction to Urban Planning,,12th,English/Hindi,Module 5: Zonal Planning and Schemes,Lecture 15: Perspective Plan (Agenda 2030 SDGs),https://www.youtube.com/watch?v=5yfjj47i0VY
17,Urban Planning,Introduction to Urban Planning,,12th,English/Hindi,Module 6: Special Purpose Plans,"Lecture 16: Contextualizing Cities (Egyptian, Mesopotamian, and Indus Valley Civilization)",https://www.youtube.com/watch?v=tkJcY_dpr4g
18,Urban Planning,Introduction to Urban Planning,,12th,English/Hindi,Module 6: Special Purpose Plans,Lecture 17: Contextualizing Cities (Vedic Period),https://www.youtube.com/watch?v=WBPE7NVBEik
