S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Urban Planning,Sem-6_Urban Transportation Planning (UTP),55hrs 13min,12th,English/Hindi,Module 1: Introduction to Urban Transportation Planning,Lec-01_Urban Transportation & Development History| Urban Transportation Planning | Civil Engineering,https://www.youtube.com/watch?v=1tURiB97Klw
2,Urban Planning,Sem-6_Urban Transportation Planning (UTP),,12th,English/Hindi,Module 1: Introduction to Urban Transportation Planning,Lec-02_Objectives & Goals of TP & Terminologies| Urban Transportation Planning |Civil Engineering,https://www.youtube.com/watch?v=d6pFDkKn0lQ
3,Urban Planning,Sem-6_Urban Transportation Planning (UTP),,12th,English/Hindi,Module 1: Introduction to Urban Transportation Planning,Lec-03_Process & Levels of Transportation Planning| Urban Transportation Planning |Civil Engineering,https://www.youtube.com/watch?v=oTDxM5mv-88
4,Urban Planning,Sem-6_Urban Transportation Planning (UTP),,12th,English/Hindi,Module 1: Introduction to Urban Transportation Planning,Lec-04_Urban Class Group & Impacts of Transportation| Urban Trans. Planning |Civil Engineering,https://www.youtube.com/watch?v=PtI-BlmhcZE
5,Urban Planning,Sem-6_Urban Transportation Planning (UTP),,12th,English/Hindi,Module 2: Urban Form and Transportation Planning,Lec-05_Urbanization | Urban Transportation Planning | Civil Engineering,https://www.youtube.com/watch?v=TSpiXkdKpN4
6,Urban Planning,Sem-6_Urban Transportation Planning (UTP),,12th,English/Hindi,Module 2: Urban Form and Transportation Planning,Lec-06_Urban form and Urban Structure | Urban Transportation Planning | Civil Engineering,https://www.youtube.com/watch?v=RwLG3ENuDvs
7,Urban Planning,Sem-6_Urban Transportation Planning (UTP),,12th,English/Hindi,Module 2: Urban Form and Transportation Planning,Lec-07_Comprehensive Plan & TSM Planning | Urban Transportation Planning | Civil Engineering,https://www.youtube.com/watch?v=RBC7tipdD9U
8,Urban Planning,Sem-6_Urban Transportation Planning (UTP),,12th,English/Hindi,Module 3: Travel Demand Analysis,Lec-08_Concept of Travel Demand| Urban Transportation Planning | Civil Engineering,https://www.youtube.com/watch?v=o41amZ3Fd_A
9,Urban Planning,Sem-6_Urban Transportation Planning (UTP),,12th,English/Hindi,Module 3: Travel Demand Analysis,Lec-09_Travel Demand Function | Urban Transportation Planning | Civil Engineering,https://www.youtube.com/watch?v=_Z3xL5s3zxA
10,Urban Planning,Sem-6_Urban Transportation Planning (UTP),,12th,English/Hindi,Module 3: Travel Demand Analysis,Lec-10_Rail Based Transit system| Urban Transportation Planning | Civil Engineering,https://www.youtube.com/watch?v=VATI0tNhETw
11,Urban Planning,Sem-6_Urban Transportation Planning (UTP),,12th,English/Hindi,Module 3: Travel Demand Analysis,Lec-11_Road Based Transit & Bus Route Planning | Urban Transportation Planning | Civil Engineering,https://www.youtube.com/watch?v=FN2cFoAHaKM
12,Urban Planning,Sem-6_Urban Transportation Planning (UTP),,12th,English/Hindi,Module 4: Urban Transit Systems,Lec-12_Mass Transit Coordination & Capacity of Rapid Transit | Urban Transportation Planning | Civil,https://www.youtube.com/watch?v=Io1chUm4QAM
13,Urban Planning,Sem-6_Urban Transportation Planning (UTP),,12th,English/Hindi,Module 4: Urban Transit Systems,Lec-13_Landuse Transportation Planning | Urban Transportation Planning | Civil Engineering,https://www.youtube.com/watch?v=W2z7K-U3AW0
14,Urban Planning,Sem-6_Urban Transportation Planning (UTP),,12th,English/Hindi,Module 4: Urban Transit Systems,Lec-14_Zoning | Urban Transportation Planning | Civil Engineering,https://www.youtube.com/watch?v=F-rH6KdiB9Q
15,Urban Planning,Sem-6_Urban Transportation Planning (UTP),,12th,English/Hindi,Module 5: Land Use and Transportation Planning,Lec-15_Origin & Destination Survey (O&D Survey) | Urban Transportation Planning | Civil Engineering,https://www.youtube.com/watch?v=M3NQez3rCt4
16,Urban Planning,Sem-6_Urban Transportation Planning (UTP),,12th,English/Hindi,Module 5: Land Use and Transportation Planning,Lec-16_Various surveys to Collect Data | Urban Transportation Planning | Civil Engineering,https://www.youtube.com/watch?v=8HKw-kcolFg
17,Urban Planning,Sem-6_Urban Transportation Planning (UTP),,12th,English/Hindi,Module 5: Land Use and Transportation Planning,Lec-17_Surveys & Inventory of Existing Conditions | Urban Transportation Planning | Civil Engg.,https://www.youtube.com/watch?v=ajEYTQBisiw
