S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Urban Planning,Urban Infrastructure,24hrs 4min,12th,English/Hindi,Module 1: Water and Transportation,An Intro to Urban Wastewater Systems,https://www.youtube.com/watch?v=-HkRkCXPjzw
2,Urban Planning,Urban Infrastructure,,12th,English/Hindi,Module 1: Water and Transportation,Bike lanes are not good enough,https://www.youtube.com/watch?v=p36skNda3KE
3,Urban Planning,Urban Infrastructure,,12th,English/Hindi,Module 1: Water and Transportation,How New York improved its electric grid after Sandy,https://www.youtube.com/watch?v=MCkI8wSZYEc
4,Urban Planning,Urban Infrastructure,,12th,English/Hindi,Module 2: Power Grids and Freeways,Freeways almost ruined San Francisco,https://www.youtube.com/watch?v=_nSvy8jcNbU
5,Urban Planning,Urban Infrastructure,,12th,English/Hindi,Module 2: Power Grids and Freeways,Chicago sold the Chicago Skyway for $1.8 billion,https://www.youtube.com/watch?v=L5TFhucZ-R4
6,Urban Planning,Urban Infrastructure,,12th,English/Hindi,Module 2: Power Grids and Freeways,Should cities expand into the sea?,https://www.youtube.com/watch?v=Ak-kAdhh8-o
7,Urban Planning,Urban Infrastructure,,12th,English/Hindi,Module 3: Urban Expansion and Division,How to Split a City in Half (Berlin),https://www.youtube.com/watch?v=P6qg0sKJJKM
8,Urban Planning,Urban Infrastructure,,12th,English/Hindi,Module 3: Urban Expansion and Division,Why are we still widening highways in US cities?,https://www.youtube.com/watch?v=NcUx5r_ksk8
9,Urban Planning,Urban Infrastructure,,12th,English/Hindi,Module 4: Highways and High-Speed Rail,Will Texas' High Speed Rail Stations Be Any Good?,https://www.youtube.com/watch?v=M-6e-mJ7hTI
10,Urban Planning,Urban Infrastructure,,12th,English/Hindi,Module 4: Highways and High-Speed Rail,An Introduction to District Heating Systems,https://www.youtube.com/watch?v=a8Khzns0KIk
