S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Urban Planning,Urban Redevelopment,13hrs 7min,12th,English/Hindi,Module 1: Transforming Tysons,Transforming Tysons,https://www.youtube.com/watch?v=BAtFe_rkS68
2,Urban Planning,Urban Redevelopment,,12th,English/Hindi,Module 1: Transforming Tysons,Jones Branch Drive Development in Tysons,https://www.youtube.com/watch?v=vLdXm0aLAjo
3,Urban Planning,Urban Redevelopment,,12th,English/Hindi,Module 1: Transforming Tysons,Tysons Spring Hill Metro Station Development,https://www.youtube.com/watch?v=DD13PMA9xvk
4,Urban Planning,Urban Redevelopment,,12th,English/Hindi,Module 1: Transforming Tysons,Tysons Central Development,https://www.youtube.com/watch?v=6Xbd7Lmbo30
5,Urban Planning,Urban Redevelopment,,12th,English/Hindi,"Module 2: Sandy Springs, Georgia: The City that Outsourced Everything","Sandy Springs, Georgia: The City that Outsourced Everything",https://www.youtube.com/watch?v=f8qFvo2qJOU
6,Urban Planning,Urban Redevelopment,,12th,English/Hindi,"Module 2: Sandy Springs, Georgia: The City that Outsourced Everything",The Solution to California's Drought: A Free Market in Water,https://www.youtube.com/watch?v=URsSyGxl3lE
7,Urban Planning,Urban Redevelopment,,12th,English/Hindi,Module 3: Modular Construction of David H. Koch Childcare Center in Cambridge,Modular Construction of David H. Koch Childcare Center in Cambridge,https://www.youtube.com/watch?v=2lT9mGfzGr4
8,Urban Planning,Urban Redevelopment,,12th,English/Hindi,Module 3: Modular Construction of David H. Koch Childcare Center in Cambridge,Modular Construction at University of Michigan,https://www.youtube.com/watch?v=Ko3qqATDa5Y
9,Urban Planning,Urban Redevelopment,,12th,English/Hindi,Module 3: Modular Construction of David H. Koch Childcare Center in Cambridge,"Scandic Arlandastad Hotel, Stockholm, Sweden | Hotel Modular Construction Forta PRO",https://www.youtube.com/watch?v=5sWfOYdHnBk
10,Urban Planning,Urban Redevelopment,,12th,English/Hindi,Module 3: Modular Construction of David H. Koch Childcare Center in Cambridge,New Modular Building Construction?,https://www.youtube.com/watch?v=K9MObObRMlw
11,Urban Planning,Urban Redevelopment,,12th,English/Hindi,Module 4: The Hyperloop May Disrupt More Than Just Travel,The Hyperloop May Disrupt More Than Just Travel,https://www.youtube.com/watch?v=QScaLhDVacg
12,Urban Planning,Urban Redevelopment,,12th,English/Hindi,Module 5: Creed - One - 7/25/1999 - Woodstock 99 East Stage,Creed - One - 7/25/1999 - Woodstock 99 East Stage,https://www.youtube.com/watch?v=tqVx77vPbRs
13,Urban Planning,Urban Redevelopment,,12th,English/Hindi,Module 6: Single-mother Erin Brockovich spotlights a water crisis in a California town: Part 1,Single-mother Erin Brockovich spotlights a water crisis in a California town: Part 1,https://www.youtube.com/watch?v=65Gya0m9xhA
14,Urban Planning,Urban Redevelopment,,12th,English/Hindi,Module 7: How Pecans Are Manufactured | How It’s Made,How Pecans Are Manufactured | How It’s Made,https://www.youtube.com/watch?v=EhqW-eZ9Vtg
