Sector,Sub Sector,Project Name,View Profile,Total Project Cost
Furniture & Fittings,Furniture,Wrought Iron Furniture,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WroughtIronFurniture.pdf,2381000
"Apparel, Made-Ups & Home Furnishing",Children's Clothing,Baby Garments,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BabyGarments.pdf,2157000
Power and Electrical,Electronics Manufacturing,MINIATURE CIRCUIT BREAKERS,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON MINIATURE CIRCUIT BREAKERS.pdf,1650000
Electronics,Appliances,kitchen chimney,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/kitchenchimney.pdf,2418000
Other Sectors,Accessories,Stainless Steel Watch Strap Unit,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/StainlessSteelWatchStrapUnit.pdf,1300000
IT-ITeS,IT Services,Computer Business Center,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Computerbusinesscenter.pdf,503300
Construction,Construction Materials,Fly Ash bricks,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/FlyAshbricks.pdf,3630000
Other Sectors,Hardware,Staple Pins,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/StaplePins.pdf,1067000
Furniture & Fittings,Metal Furniture,ALUMINIUM FURNITURE,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON ALUMINIUM FURNITURE.pdf,400000
"Rubber, Chemical and Petrochemical",Plastic Molding,PP Blow Molding Container,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PPBlowMoldingContainer.pdf,3867000
Automotive,Vehicle Maintenance,Engine Flushing Oil,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/EngineFlushingOil.pdf,2487000
Other Sectors,Eco-Friendly Products,Area Nut Plam Leaf Crockery,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ArecaLeafCutlery.pdf,2370000
Other Sectors,Broom Making,Broom Making,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BroomStick.pdf,588000
Retail,Retail,Plastic Price Tag,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PlasticPriceTag.pdf,2041000
Food Processing,Beverage Manufacturing,Tea Pacakaging Unit,/srv/YouthMissionMobile/DPR/Packaging__of__Tea.pdf,500000
Food Processing,Snack Manufacturing,Biscuit Making Unit,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BiscuitMakingUnit.pdf,2122000
Construction,Construction Materials,PRE-FABRICATAD BUILDING MATERIALS,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON PRE-FABRICATAD BUILDING MATERIALS.pdf,340000
Food Processing,Spice Processing,MASALA MAKING UNIT (SMALL),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MASALA MAKING UNIT (SMALL).pdf,350000
Food Processing,Dairy Products,MILK BASED PRODUCTS,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON MILK BASED PRODUCTS.pdf,2000000
Food Processing,Sweets,PETHA MANACTURING,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON PETHA MANACTURING.pdf,725000
Logistics,Packaging Materials,Duplex Board,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/DuplexBoard.pdf,1579000
HealthCare,Medical Equipment,Disposable Plastic Syringes,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/DisposablePlasticSyringes.pdf,3444000
Construction,Building Materials,Gypsum Plaster Board,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/GypsumPlasterBoard.pdf,2429000
Food Processing,Food Services,Food Truck Business,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/FoodTruckBusiness.pdf,984000
