Unnamed: 0,sector,name of course,module_name,Video Title,video_link_to_embed,BASIC_ADVANCED
0,Aerospace & Aviation,Aerodynamics_1,Module 1: Introduction to Aerodynamics,How we study aerodynamics [Aerodynamics #1],https://www.youtube.com/watch?v=QkaG-hDmRiQ,ADVANCED
1,Aerospace & Aviation,Aerodynamics_1,Module 1: Introduction to Aerodynamics,Common aerodynamic variables [Aerodynamics #2],https://www.youtube.com/watch?v=svGjo7pzzF8,ADVANCED
2,Aerospace & Aviation,Aerodynamics_1,Module 1: Introduction to Aerodynamics,Aerodynamic body forces and moments [Aerodynamics #3],https://www.youtube.com/watch?v=5LQxe4-BEcM,ADVANCED
3,Aerospace & Aviation,Aerodynamics_1,Module 1: Introduction to Aerodynamics,Nondimensional numbers and Similarity [Aerodynamics #4],https://www.youtube.com/watch?v=29a9e_xI9Jg,ADVANCED
4,Aerospace & Aviation,Aerodynamics_1,Module 2: Fundamental Concepts,Conservation laws [Aerodynamics #5],https://www.youtube.com/watch?v=EovzNQ2oGyY,ADVANCED
5,Aerospace & Aviation,Aerodynamics_1,Module 2: Fundamental Concepts,Streamlines and stream function [Aerodynamics #6],https://www.youtube.com/watch?v=LWpSGsOYxPI,ADVANCED
6,Aerospace & Aviation,Aerodynamics_1,Module 2: Fundamental Concepts,Rotational and irrotational flow [Aerodynamics #7],https://www.youtube.com/watch?v=aRaNCZL7kEY,ADVANCED
7,Aerospace & Aviation,Aerodynamics_1,Module 2: Fundamental Concepts,Bernuolli and Laplace [Aerodynamics #8],https://www.youtube.com/watch?v=1dieMQe23N0,ADVANCED
8,Aerospace & Aviation,Aerodynamics_1,Module 3: Fluid Flow Phenomena,Elementary flows [Aerodynamics #9],https://www.youtube.com/watch?v=fvq1bNiHgUM,ADVANCED
9,Aerospace & Aviation,Aerodynamics_1,Module 3: Fluid Flow Phenomena,Kutta Joukowski theorem [Aerodynamics #10],https://www.youtube.com/watch?v=ylD7uJZWJgA,ADVANCED
10,Aerospace & Aviation,Aerodynamics_1,Module 3: Fluid Flow Phenomena,Panel methods [Aerodynamics #11],https://www.youtube.com/watch?v=AGVG2K6R9GA,ADVANCED
11,Aerospace & Aviation,Aerodynamics_1,Module 3: Fluid Flow Phenomena,Thin airfoil theory [Aerodynamics #12],https://www.youtube.com/watch?v=pXLcDYt2YSQ,ADVANCED
12,Aerospace & Aviation,Aerodynamics_1,Module 4: Aerodynamic Theories and Applications,Airfoils and wings [Aerodynamics #13],https://www.youtube.com/watch?v=EtvOXTSFMKg,ADVANCED
13,Aerospace & Aviation,Aerodynamics_1,Module 4: Aerodynamic Theories and Applications,What causes lift [Aerodynamics #13a],https://www.youtube.com/watch?v=J6h2UOlZQTI,ADVANCED
14,Aerospace & Aviation,Aerodynamics_1,Module 4: Aerodynamic Theories and Applications,Drag and separation [Aerodynamics #14],https://www.youtube.com/watch?v=aa2qEF2QNuM,ADVANCED
15,Aerospace & Aviation,Aerodynamics_1,Module 4: Aerodynamic Theories and Applications,Finite wing effects [Aerodynamics #15],https://www.youtube.com/watch?v=m6n_k5ArdwU,ADVANCED
16,Aerospace & Aviation,Aerodynamics_1,Module 5: Wings and Lift,Lifting line theory [Aerodynamics #16],https://www.youtube.com/watch?v=sAd55IRHNKM,ADVANCED
17,Aerospace & Aviation,Aerodynamics_1,Module 5: Wings and Lift,Intro to compressible flow [Aerodynamics #17],https://www.youtube.com/watch?v=dDSgUTgcMXg,ADVANCED
18,Aerospace & Aviation,Aerodynamics_1,Module 5: Wings and Lift,Normal shock waves [Aerodynamics #18],https://www.youtube.com/watch?v=GwNgymwwFAQ,ADVANCED
19,Aerospace & Aviation,Aerodynamics_1,Module 5: Wings and Lift,Oblique shocks and expansion fans [Aerodynamics #19],https://www.youtube.com/watch?v=XW2FH8Yn9yE,ADVANCED
20,Aerospace & Aviation,Aerodynamics_1,Module 6: Advanced Aerodynamics,Hypersonics [Aerodynamics #20],https://www.youtube.com/watch?v=bbaSjdYESkk,ADVANCED
21,Aerospace & Aviation,Aerodynamics_1,Module 6: Advanced Aerodynamics,Swimming and flying [Aerodynamics #21],https://www.youtube.com/watch?v=jiRWSgJuaw0,ADVANCED
22,Aerospace & Aviation,Aerodynamics_2,Module 01: Aircraft and Aerodynamic Forces,Aircraft and Aerodynamic Forces and Moments,https://www.youtube.com/watch?v=_9qwbichO1s,ADVANCED
23,Aerospace & Aviation,Aerodynamics_2,Module 01: Aircraft and Aerodynamic Forces,Aircraft and Aerodynamic Forces and Moments (Contd.),https://www.youtube.com/watch?v=BhWzgo7qkbE,ADVANCED
24,Aerospace & Aviation,Aerodynamics_2,Module 02: Fluids and Forces,Fluids and Forces in Fluids,https://www.youtube.com/watch?v=FKH4DjMdk9I,ADVANCED
25,Aerospace & Aviation,Aerodynamics_2,Module 02: Fluids and Forces,Fluids and Forces in Fluids (Contd.),https://www.youtube.com/watch?v=iliUBZ_Syvg,ADVANCED
26,Aerospace & Aviation,Aerodynamics_2,Module 03: Forces in Fluids,Forces in Fluids,https://www.youtube.com/watch?v=VhybIE82B6M,ADVANCED
27,Aerospace & Aviation,Aerodynamics_2,Module 03: Forces in Fluids,Forces in Fluids (Contd.),https://www.youtube.com/watch?v=nyGyTcM6UGk,ADVANCED
28,Aerospace & Aviation,Aerodynamics_2,Module 04: Kinematics of Fluid Motion,Kinematics of fluid motion,https://www.youtube.com/watch?v=uBwrSaQxgOE,ADVANCED
29,Aerospace & Aviation,Aerodynamics_2,Module 04: Kinematics of Fluid Motion,Kinematics of fluid motion (Contd.),https://www.youtube.com/watch?v=UGDeNOtueHI,ADVANCED
30,Aerospace & Aviation,Aerodynamics_2,Module 04: Kinematics of Fluid Motion,Kinematics of fluid motion (Contd. ),https://www.youtube.com/watch?v=XSmMj0qQ3Vc,ADVANCED
31,Aerospace & Aviation,Aerodynamics_2,Module 04: Kinematics of Fluid Motion,Kinematics of fluid motion (Contd.),https://www.youtube.com/watch?v=ds6pAzVLmDg,ADVANCED
32,Aerospace & Aviation,Aerodynamics_2,Module 04: Kinematics of Fluid Motion,Kinematics of fluid motion - Velocity with specified extension and vorticity,https://www.youtube.com/watch?v=5icLZhmQp58,ADVANCED
33,Aerospace & Aviation,Aerodynamics_2,Module 04: Kinematics of Fluid Motion,Kinematics of fluid motion - Velocity with specified extension and vorticity (Contd.),https://www.youtube.com/watch?v=MIrUhH8HC20,ADVANCED
34,Aerospace & Aviation,Aerodynamics_2,Module 04: Kinematics of Fluid Motion,Kinematics of fluid motion - Vorticity Distribution,https://www.youtube.com/watch?v=qsMzzLU1oVo,ADVANCED
35,Aerospace & Aviation,Aerodynamics_2,Module 04: Kinematics of Fluid Motion,Kinematics of fluid motion - Velocity without expansion and vorticity,https://www.youtube.com/watch?v=wqdbpiYpsyE,ADVANCED
36,Aerospace & Aviation,Aerodynamics_2,Module 05: Irrotational Solenoidal Flow,Irrotational Solenoidal Flow in Multiply Connected region,https://www.youtube.com/watch?v=r3HxQmhakhY,ADVANCED
